,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9320796590241035,0.9071375515317378,0.8887413910273966,0.9320796590241035,0.8749421165823739
1,Baseline_use_wavelets_False_and_use_fft_False,0.9556966490299823,0.8467090653632515,0.7781680978402289,0.9556966490299823,0.8123579932341293
2,Baseline_use_fft_False,0.9622736625514402,0.9507908271073413,0.9417149949474979,0.9622736625514402,0.9277857699765363
3,Baseline_use_fft_False_and_no_gMLP,0.9603997648442092,0.8820155161137547,0.8237210817855979,0.9603997648442092,0.8503302673178444
4,Baseline_use_wavelets_False,0.9952968841857731,0.9551147279515714,0.9221505376344087,0.9952968841857731,0.9443848863294335
5,Baseline_use_wavelets_False_and_no_gMLP,0.9639271017048795,0.9033167157972503,0.855961791831357,0.9639271017048795,0.8810280063304708
6,Baseline_use_gmlp_False,0.953533215755438,0.9247554885201944,0.8999041579686741,0.953533215755438,0.9022342143554508
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9543327454438565,0.8159805849876477,0.7441786283891547,0.9543327454438565,0.7217954534994984
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9645149911816578,0.9082568881751304,0.8632229848210861,0.9645149911816578,0.8866724867102828
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9240696649029982,0.9440660320359285,0.966577689553432,0.9240696649029982,0.9233824130065612
10,Baseline_use_kan_False,0.9535978835978836,0.9080802701233402,0.8808851785595971,0.9535978835978836,0.9020067659841701
11,Baseline_use_smoe_False,0.9813756613756613,0.9490914773973459,0.9203381085785649,0.9813756613756613,0.929937353914768
12,Baseline_use_gc_False,0.9165373309817754,0.9306768997401825,0.9473199409177315,0.9165373309817754,0.9088084422623679
13,Baseline_use_lookahead_False,0.9790241034685478,0.9280691357408575,0.8857142857142858,0.9790241034685478,0.9063570940729082
14,Baseline,0.9349412110523221,0.8770901690066149,0.8319279754062362,0.9349412110523221,0.839583609663653
15,Baseline_use_wavelets_False_and_use_fft_False,0.9801998824221047,0.9370441774629586,0.9001044932079414,0.9801998824221047,0.918338217505226
16,Baseline_use_fft_False,0.9495282186948854,0.9462067369689783,0.9437185493666492,0.9495282186948854,0.9258899835767547
17,Baseline_use_fft_False_and_no_gMLP,0.9609876543209875,0.881754584482331,0.825645441733193,0.9609876543209875,0.8541301391091191
18,Baseline_use_wavelets_False,0.9558847736625514,0.9469112817616949,0.9418967643321658,0.9558847736625514,0.9278421810782386
19,Baseline_use_wavelets_False_and_no_gMLP,0.9576484420928866,0.9576419389547869,0.9623719464144996,0.9576484420928866,0.9487400866072908
20,Baseline_use_gmlp_False,0.9371825396825396,0.8416772535069491,0.7842323419033216,0.9371825396825396,0.8117528306044548
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9721898883009995,0.9814972542019031,0.9911503321741515,0.9721898883009995,0.9696798003238216
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9414403292181069,0.9209359809506545,0.9053654024051804,0.9414403292181069,0.9045688164618909
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9582363315696649,0.9610438977887714,0.9679634886180221,0.9582363315696649,0.9556959909555066
24,Baseline_use_kan_False,0.9686302175191064,0.9512888767547153,0.9378968253968254,0.9686302175191064,0.9292627136787531
25,Baseline_use_smoe_False,0.9703938859494414,0.9613202750652526,0.9540725039191811,0.9703938859494414,0.9491305372326482
26,Baseline_use_gc_False,0.9454129923574368,0.909525054341248,0.8782912479501349,0.9454129923574368,0.8819199210043729
27,Baseline_use_lookahead_False,0.9639271017048795,0.9167190645779818,0.8789751678501977,0.9639271017048795,0.8810084340717748
28,Baseline,0.9651028806584362,0.9116043681820036,0.8686112782457548,0.9651028806584362,0.8924613341407464
29,Baseline_use_wavelets_False_and_use_fft_False,0.982551440329218,0.9560883828246333,0.9321789321789322,0.982551440329218,0.9429484129083928
30,Baseline_use_fft_False,0.9813756613756613,0.9520844645550528,0.9267399267399267,0.9813756613756613,0.9307788728747789
31,Baseline_use_fft_False_and_no_gMLP,0.9656907701352145,0.9232441747425101,0.8872440109282215,0.9656907701352145,0.8982614990367644
32,Baseline_use_wavelets_False,0.953533215755438,0.9221182185804334,0.8954879257250985,0.953533215755438,0.9032413776346455
33,Baseline_use_wavelets_False_and_no_gMLP,0.966278659611993,0.9291083211831208,0.8973861846195558,0.966278659611993,0.904244661559339
34,Baseline_use_gmlp_False,0.9796119929453262,0.9320205904320238,0.8926851215315027,0.9796119929453262,0.9113371838374955
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9698059964726631,0.9548593693309987,0.9407464857783528,0.9698059964726631,0.9417482042625515
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9437595532039976,0.9468305124043589,0.9499735291179702,0.9437595532039976,0.9319941455586893
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9483524397413285,0.9338735261692056,0.920205892622568,0.9483524397413285,0.9124048977921807
38,Baseline_use_kan_False,0.8626675485008818,0.872088331932452,0.8824778432309079,0.8626675485008818,0.7847715822953091
39,Baseline_use_smoe_False,0.9772604350382128,0.9104289622867103,0.859536541889483,0.9772604350382128,0.88922634378325
40,Baseline_use_gc_False,0.9588242210464433,0.9674466152007524,0.9792163779091884,0.9588242210464433,0.962505104393116
41,Baseline_use_lookahead_False,0.9378483245149911,0.905952380952381,0.8870783866656183,0.9378483245149911,0.8730647030049211
42,Baseline,0.9374353321575545,0.955218816923265,0.9744560994560995,0.9374353321575545,0.930948512312664
43,Baseline_use_wavelets_False_and_use_fft_False,0.9531569664902998,0.786371347955035,0.7309090909090908,0.9531569664902998,0.7193600540347413
44,Baseline_use_fft_False,0.9586360964138742,0.8667088658151583,0.8028356225077536,0.9586360964138742,0.8355388310991874
45,Baseline_use_fft_False_and_no_gMLP,0.9083847736625513,0.9190731794596528,0.9351399629177406,0.9083847736625513,0.8873458498416884
46,Baseline_use_wavelets_False,0.9831393298059964,0.9621174570523386,0.9429124334784712,0.9831393298059964,0.95019629033113
47,Baseline_use_wavelets_False_and_no_gMLP,0.9790241034685478,0.92586163450423,0.8823069403714564,0.9790241034685478,0.9063783283102799
48,Baseline_use_gmlp_False,0.9431393298059964,0.9422786440610444,0.9460383981660577,0.9431393298059964,0.9265770379847577
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9541211052322164,0.9308065764904131,0.9111883465371836,0.9541211052322164,0.9084695801006011
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9165373309817754,0.9397217764872688,0.9675520529285854,0.9165373309817754,0.9079748302495146
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9361169900058789,0.9051965153914944,0.8837939779770454,0.9361169900058789,0.8506552250209088
52,Baseline_use_kan_False,0.9472089947089947,0.9301977836743957,0.9143236190601497,0.9472089947089947,0.8977557758662456
53,Baseline_use_smoe_False,0.9917695473251028,0.9322439391358656,0.8846590909090909,0.9917695473251028,0.9075024390464639
54,Baseline_use_gc_False,0.9130099941211052,0.9021525497909154,0.8917603200581924,0.9130099941211052,0.8674355487258167
55,Baseline_use_lookahead_False,0.9651028806584362,0.9291176783507518,0.9016933972500049,0.9651028806584362,0.8925426492793418
