,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9716389365281785,0.9789295034025436,0.9869929603045297,0.9716389365281785,0.9762152722501342
1,Baseline_use_wavelets_False_and_use_fft_False,0.9723780281433939,0.9778448285627057,0.9838198436067692,0.9723780281433939,0.9749195624677439
2,Baseline_use_fft_False,0.9704755498255299,0.9781924723049964,0.9867561253973504,0.9704755498255299,0.9754347812661723
3,Baseline_use_fft_False_and_no_gMLP,0.970956272832933,0.9784781514821468,0.9868126360460311,0.970956272832933,0.9757352129836445
4,Baseline_use_wavelets_False,0.971494534502293,0.9784210859070571,0.986108887201846,0.971494534502293,0.9758658293472698
5,Baseline_use_wavelets_False_and_no_gMLP,0.9754071635153575,0.968790237536948,0.9623844061687933,0.9754071635153575,0.9641876512410898
6,Baseline_use_gmlp_False,0.9709273183782902,0.9783220984693063,0.9865086649885714,0.9709273183782902,0.9755567238714624
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9713215482690937,0.9786023608690307,0.9866553730024368,0.9713215482690937,0.9758565780948119
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9707639836299716,0.9783639262857592,0.9867900333968717,0.9707639836299716,0.9756150424369412
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9693218146077623,0.9775052585664006,0.9866204445482557,0.9693218146077623,0.9747136721991986
10,Baseline_use_kan_False,0.9703987081938111,0.9782393858133126,0.9869481564808327,0.9703987081938111,0.975493784598616
11,Baseline_use_smoe_False,0.9703504507694064,0.9779792508814683,0.9864402911964457,0.9703504507694064,0.9751961255613915
12,Baseline_use_gc_False,0.9689372362018398,0.9772756888914654,0.9865752000127382,0.9689372362018398,0.9744732795484141
13,Baseline_use_lookahead_False,0.9699083337015271,0.9779011823979542,0.9867900870139207,0.9699083337015271,0.9751338025640541
