,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
1,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
2,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
3,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
4,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
5,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
6,Baseline_use_gmlp_False,0.9876379739064257,0.9922208059887824,0.997540239342546,0.9876379739064257,0.9992902110420661
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9972401686938057,0.9978283579076597,0.9984552489273218,0.9972401686938057,0.999741845543401
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
10,Baseline_use_kan_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
11,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
12,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
13,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
14,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
15,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
16,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
17,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
18,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
19,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
20,Baseline_use_gmlp_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
24,Baseline_use_kan_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
25,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
26,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
27,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
28,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
29,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
30,Baseline_use_fft_False,0.9643183579942173,0.9764123345343039,0.9953797286846527,0.9643183579942173,0.998194270251617
31,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
32,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
33,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
34,Baseline_use_gmlp_False,0.9643183579942173,0.9764123345343039,0.9953797286846527,0.9643183579942173,0.998194270251617
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
38,Baseline_use_kan_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
39,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
40,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
41,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
42,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
43,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
44,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
45,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
46,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
