,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9632505985347447,0.9722243834007033,0.9825981091363977,0.9632505985347447,0.9665781435470325
1,Baseline_use_wavelets_False_and_use_fft_False,0.9681580427406837,0.9742265575019485,0.9811030006379945,0.9681580427406837,0.9687334670326602
2,Baseline_use_fft_False,0.9660311328196683,0.9731234930214071,0.9811571997264744,0.9660311328196683,0.9676474946895607
3,Baseline_use_fft_False_and_no_gMLP,0.965201606503196,0.971843917992158,0.9794269320183394,0.965201606503196,0.9656083731625432
4,Baseline_use_wavelets_False,0.9640611741290034,0.972302737162087,0.9818005120600982,0.9640611741290034,0.9665839784495724
5,Baseline_use_wavelets_False_and_no_gMLP,0.9679661763137951,0.9746999469288905,0.9823476173883797,0.9679661763137951,0.9694867446689482
6,Baseline_use_gmlp_False,0.9652635861929492,0.9732665400171866,0.9824264176746104,0.9652635861929492,0.967875892210109
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9625598091332899,0.9713788766935304,0.9815767344593205,0.9625598091332899,0.9655109064215094
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9646919173414908,0.9729149658221191,0.9823396219152305,0.9646919173414908,0.9673402479505936
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9621883355905961,0.9716679441195021,0.9827237235101934,0.9621883355905961,0.9658968731389528
10,Baseline_use_kan_False,0.9619250494948846,0.9714193004773289,0.9823969204205222,0.9619250494948846,0.9656547063322445
11,Baseline_use_smoe_False,0.9699527118490471,0.9761327606606381,0.9831110083671467,0.9699527118490471,0.9710885347658267
12,Baseline_use_gc_False,0.9660361159959793,0.9732988738286924,0.9815900610867517,0.9660361159959793,0.967731211844452
13,Baseline_use_lookahead_False,0.967157012924316,0.9744104633043144,0.9826756420515697,0.967157012924316,0.9691017581090314
14,Baseline,0.963426414490598,0.9724099887309848,0.9827573070759672,0.963426414490598,0.9667258213834606
15,Baseline_use_wavelets_False_and_use_fft_False,0.9670100280465874,0.974434324377535,0.982916006120675,0.9670100280465874,0.9692551441945503
16,Baseline_use_fft_False,0.9640897850187077,0.9727016595972778,0.982648467077521,0.9640897850187077,0.9671164568803554
17,Baseline_use_fft_False_and_no_gMLP,0.9671950587155446,0.974472645657123,0.9827503003990842,0.9671950587155446,0.9692515725363505
18,Baseline_use_wavelets_False,0.9657159143059904,0.973604199974095,0.9826571616134253,0.9657159143059904,0.9681103130408639
19,Baseline_use_wavelets_False_and_no_gMLP,0.9696348081950653,0.9747419059725474,0.9804877043728378,0.9696348081950653,0.9692758971706968
20,Baseline_use_gmlp_False,0.9663991213875415,0.9740697660918459,0.9828280000332349,0.9663991213875415,0.968717004265129
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.965945606335687,0.9731830798419692,0.981449777623967,0.965945606335687,0.9677322312286308
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9625846288630422,0.971640068482472,0.9820878912081704,0.9625846288630422,0.9658099969321683
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9626859856296384,0.9710871181928814,0.9808157899485771,0.9626859856296384,0.9650615498054499
24,Baseline_use_kan_False,0.9669421793492955,0.9740375308719207,0.9820876829223218,0.9669421793492955,0.968717238071364
25,Baseline_use_smoe_False,0.963676694713254,0.9723579263960564,0.9823927994358818,0.963676694713254,0.9668873148966699
26,Baseline_use_gc_False,0.964850275699075,0.9732249709745697,0.9828528879283359,0.964850275699075,0.96787669037041
27,Baseline_use_lookahead_False,0.5087911925549639,0.324238890698625,0.32446611085631233,0.5087911925549639,0.25086831285706496
28,Baseline,0.963287897764001,0.971557986965574,0.9810924076406725,0.963287897764001,0.9655154924295208
29,Baseline_use_wavelets_False_and_use_fft_False,0.9650575269541916,0.9732658923311432,0.9827010701973036,0.9650575269541916,0.9678024269507787
30,Baseline_use_fft_False,0.9640892586451559,0.9715269281890778,0.9799978421795724,0.9640892586451559,0.965664982772256
31,Baseline_use_fft_False_and_no_gMLP,0.9668570932421551,0.9737421960422618,0.981593216953466,0.9668570932421551,0.9683462879740684
32,Baseline_use_wavelets_False,0.9678191914360665,0.974880136420403,0.9829333399259207,0.9678191914360665,0.9696397816360178
