,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9153756777691712,0.9126659479938585,0.910014098997828,0.9153756777691712,0.9741149633675658
1,Baseline_use_wavelets_False_and_use_fft_False,0.90427317325071,0.8028573602907295,0.7412703380001142,0.90427317325071,0.8588147387336975
2,Baseline_use_fft_False,0.9122773044151821,0.8242912234037045,0.7820289742895107,0.9122773044151821,0.9384751348740935
3,Baseline_use_fft_False_and_no_gMLP,0.9125355021946812,0.8289264913604613,0.7870293834250156,0.9125355021946812,0.9413011985914415
4,Baseline_use_wavelets_False,0.8717832859970738,0.5856266210128505,0.6025616482063905,0.8717832859970738,0.5110214595049085
5,Baseline_use_wavelets_False_and_no_gMLP,0.9255960065410105,0.7251878512074442,0.6999298038509507,0.9255960065410105,0.8146736918409158
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9156338755486703,0.9236650628534102,0.9327417732754061,0.9156338755486703,0.9772710650254136
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9027239865737154,0.738299225255747,0.7104004687687331,0.9027239865737154,0.8486609318525368
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
9,Baseline_use_kan_False,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
10,Baseline_use_smoe_False,0.9151174799896721,0.9115170467424584,0.9080185848478531,0.9151174799896721,0.9709821297466326
11,Baseline_use_gc_False,0.906855151045701,0.7686842277208802,0.7252624422943148,0.906855151045701,0.883707650257452
12,Baseline_use_lookahead_False,0.813808739994836,0.8584210631491174,0.9207981925569347,0.813808739994836,0.8086422439360076
13,Baseline,0.9065969532662019,0.7609211819973742,0.7258495954526811,0.9065969532662019,0.8819557864537139
14,Baseline_use_wavelets_False_and_use_fft_False,0.9505336087442982,0.7218552936682996,0.6983916578296218,0.9505336087442982,0.7988267236485339
15,Baseline_use_fft_False,0.9143428866511748,0.8700688767959986,0.8385028177649275,0.9143428866511748,0.9618041719365604
16,Baseline_use_fft_False_and_no_gMLP,0.9151174799896721,0.9025362978477087,0.8907829275927436,0.9151174799896721,0.9709884475363787
17,Baseline_use_wavelets_False,0.923422841896893,0.6713123731669538,0.6771491065164459,0.923422841896893,0.6622690862142598
18,Baseline_use_wavelets_False_and_no_gMLP,0.9608615199242619,0.7713559451886874,0.7290494058786742,0.9608615199242619,0.8774316753098182
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9117609088561839,0.8187363834422658,0.7753930264885568,0.9117609088561839,0.9328394580058651
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.912019106635683,0.8198929327113236,0.7774131798968401,0.912019106635683,0.9356736802413774
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9032403821327136,0.7408206018859222,0.7120142391473755,0.9032403821327136,0.8528897516635596
22,Baseline_use_kan_False,0.9305017643514932,0.7462359200561274,0.7151922417583879,0.9305017643514932,0.85232209375892
23,Baseline_use_smoe_False,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
24,Baseline_use_gc_False,0.9333419399259834,0.7650538008095773,0.724325987279207,0.9333419399259834,0.8759718430716333
25,Baseline_use_lookahead_False,0.9153756777691712,0.9126659479938585,0.910014098997828,0.9153756777691712,0.9741149633675658
26,Baseline,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
27,Baseline_use_wavelets_False_and_use_fft_False,0.9062311730785783,0.6836470166832154,0.6834914875431507,0.9062311730785783,0.7037987268714377
28,Baseline_use_fft_False,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
29,Baseline_use_fft_False_and_no_gMLP,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
30,Baseline_use_wavelets_False,0.8970436354247354,0.7167294471356257,0.6977179309188805,0.8970436354247354,0.805838206387995
31,Baseline_use_wavelets_False_and_no_gMLP,0.9541483776572854,0.736117668100829,0.690250468164794,0.9541483776572854,0.8218770948117825
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9130518977536793,0.8389916345492688,0.7983938361403395,0.9130518977536793,0.9470286129369714
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.884284361821155,0.6576515030903284,0.6760107826579912,0.884284361821155,0.6192636754681874
35,Baseline_use_kan_False,0.9127759488768397,0.8766729718009733,0.8495074765994031,0.9127759488768397,0.9647030193131716
36,Baseline_use_smoe_False,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
37,Baseline_use_gc_False,0.9281779843360014,0.7355410623703307,0.7010274780819938,0.9281779843360014,0.8331331531934395
38,Baseline_use_lookahead_False,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
39,Baseline,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
40,Baseline_use_wavelets_False_and_use_fft_False,0.9142353042430501,0.6956207913461862,0.6851346178526988,0.9142353042430501,0.7437137885907947
41,Baseline_use_fft_False,0.9310181599104914,0.7489403609429522,0.7169274318680864,0.9310181599104914,0.8565441311584097
42,Baseline_use_fft_False_and_no_gMLP,0.9094371288406919,0.7856839102246328,0.74535776443989,0.9094371288406919,0.9089377976138363
43,Baseline_use_wavelets_False,0.9249720285738876,0.6749413696566031,0.6815497132135014,0.9249720285738876,0.6688330361934899
44,Baseline_use_wavelets_False_and_no_gMLP,0.9307599621309923,0.7483205506475562,0.7127937975395602,0.9307599621309923,0.8540097153494797
45,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9034985799122127,0.7421287136241412,0.712862129303626,0.9034985799122127,0.8550272658755705
46,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
47,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9416042688699545,0.8713743966719152,0.8289578936209173,0.9416042688699545,0.9592172083855157
48,Baseline_use_kan_False,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
49,Baseline_use_smoe_False,0.9127936999741803,0.8338190577735656,0.7924645745289415,0.9127936999741803,0.9441522344173887
50,Baseline_use_gc_False,0.909695326620191,0.7902250021359812,0.7482403985155058,0.909695326620191,0.9114307112128464
51,Baseline_use_lookahead_False,0.9138264910921766,0.8564605044099459,0.8199261563704914,0.9138264910921766,0.9558136282496613
52,Baseline,0.9133100955331784,0.8491259228619287,0.8100108640081799,0.9133100955331784,0.9498937986094352
53,Baseline_use_wavelets_False_and_use_fft_False,0.9261124021000087,0.7272766245671533,0.7024527898955174,0.9261124021000087,0.8185524749175419
54,Baseline_use_fft_False,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
55,Baseline_use_fft_False_and_no_gMLP,0.906855151045701,0.7628075761244055,0.72723762313423,0.906855151045701,0.8843127764090462
