,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9022075910147173,0.7359848420854047,0.7063847438484815,0.9022075910147173,0.844202938220038
1,Transformer-FNET-128,0.9081461399431965,0.773230450541444,0.7351930715074347,0.9081461399431965,0.8963790967218557
2,Transformer-MHA-64,0.8377200060246149,0.6184553003277627,0.6679323319680955,0.8377200060246149,0.5161296088279593
3,Transformer-MHA-128,0.8900991909802909,0.68049589726138,0.6934330939965904,0.8900991909802909,0.727349317198384
4,Transformer-FNET-64,0.8885231087012652,0.6942080142080141,0.6823183829762778,0.8885231087012652,0.7513230042845498
5,Transformer-FNET-128,0.927145193218005,0.7310618111651704,0.7033095215673613,0.927145193218005,0.8259535096914753
6,Transformer-MHA-64,0.9374817109906188,0.7254436400240887,0.706001209937337,0.9374817109906188,0.7959033132170876
7,Transformer-MHA-128,0.7922583699113521,0.5515418665058032,0.6677376732382233,0.7922583699113521,0.4229567019558194
8,Transformer-FNET-64,0.912019106635683,0.8198929327113236,0.7774131798968401,0.912019106635683,0.9356736802413774
9,Transformer-FNET-128,0.9253378087615114,0.72403810051929,0.6979586505448574,0.9253378087615114,0.8126663794779885
10,Transformer-MHA-64,0.9533737843187882,0.7320908367232218,0.7067281471565273,0.9533737843187882,0.818721462548489
11,Transformer-MHA-128,0.870965121783286,0.6343172319098948,0.6750713295834352,0.870965121783286,0.5728217198930197
12,Transformer-FNET-64,0.9071133488252001,0.7665383054468252,0.7277732416636861,0.9071133488252001,0.8864780707026114
13,Transformer-FNET-128,0.9011747998967209,0.7312864559739009,0.7034504441483255,0.9011747998967209,0.8360274766957173
14,Transformer-MHA-64,0.8769472415870556,0.6258225372322654,0.6682624916434841,0.8769472415870556,0.533357898206038
15,Transformer-MHA-128,0.8229839056717445,0.5806774442832761,0.6687872679936172,0.8229839056717445,0.4523414094247211
