,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,1.0,1.0,1.0,1.0,1.0
1,Baseline_use_wavelets_False_and_use_fft_False,1.0,1.0,1.0,1.0,1.0
2,Baseline_use_fft_False,0.9714285714285715,0.9843402814516983,0.9994505494505495,0.9714285714285715,0.9972959700237478
3,Baseline_use_fft_False_and_no_gMLP,0.9994490358126722,0.8331034482758621,0.8333333333333334,0.8328741965105602,0.9973032873247305
4,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
5,Baseline_use_wavelets_False_and_no_gMLP,0.9708522025524907,0.944051681163098,0.9327838827838828,0.9708522025524907,0.994597134435832
6,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9596550859846641,0.477020255158046,0.4722222222222222,0.5331417144359245,0.9430745883107491
10,Baseline_use_kan_False,0.9714285714285715,0.9446153846153846,0.9333333333333332,0.9714285714285715,0.9972987392737575
11,Baseline_use_smoe_False,0.9994490358126722,0.9330574712643678,0.9,0.9994490358126722,0.9973032721351439
12,Baseline_use_gc_False,0.9714285714285715,0.8205128205128206,0.8333333333333334,0.8095238095238096,0.9972987597114755
13,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
