,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.8762165988159539,0.7791069814858282,0.7654626878966462,0.8762165988159539,0.6666045864387492
1,Transformer-FNET-128,0.9300877521150607,0.8923311093883689,0.8667456686388535,0.9300877521150607,0.8470524065028829
2,Transformer-MHA-64,0.9449595559585359,0.9576511657827912,0.9725876323062531,0.9449595559585359,0.9458592629056154
3,Transformer-MHA-128,0.9173755309948297,0.8363745892244383,0.8037279991484394,0.9173755309948297,0.7596160865461482
4,Transformer-FNET-64,0.8840619724816269,0.7850954904953422,0.7685409778002348,0.8840619724816269,0.6778129305263466
5,Transformer-FNET-128,0.9370366871353629,0.9143931920152606,0.8958813015847547,0.9370366871353629,0.8808289098314899
6,Transformer-MHA-64,0.9515622705544939,0.9576827410608676,0.9647735348194687,0.9515622705544939,0.9431783063457884
7,Transformer-MHA-128,0.9510942628084252,0.9603767805431138,0.9717392228682815,0.9510942628084252,0.9487565840138328
8,Transformer-FNET-64,0.8772730616643032,0.7796319780424957,0.7645417360277308,0.8772730616643032,0.669107436997003
9,Transformer-FNET-128,0.8637175351799767,0.7460595897919404,0.748581115430699,0.8637175351799767,0.6201109588159033
10,Transformer-MHA-64,0.9119128188130873,0.8371991126631421,0.8090992824126862,0.9119128188130873,0.759067194066439
11,Transformer-MHA-128,0.9477509509553803,0.9169911798451594,0.8931191743475951,0.9477509509553803,0.8823204710753756
12,Transformer-FNET-64,0.936645008736448,0.924563198991241,0.9133276999043464,0.936645008736448,0.8972576675488234
13,Transformer-FNET-128,0.9281006800908189,0.8747797303384025,0.8438882366643842,0.9281006800908189,0.8172078875093715
14,Transformer-MHA-64,0.9504648583187615,0.9312605604624441,0.9150567813029481,0.9504648583187615,0.9061645844599088
15,Transformer-MHA-128,0.9508610272215412,0.9327778589974707,0.9167245825226775,0.9508610272215412,0.906298178844929
