,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
1,Baseline_use_wavelets_False_and_use_fft_False,0.9704613660937365,0.9773506106075561,0.9927851879405796,0.9704613660937365,0.9992336211382196
2,Baseline_use_fft_False,0.9724142058604003,0.9762954076452639,0.9883978525543876,0.9724142058604003,0.9991885755677604
3,Baseline_use_fft_False_and_no_gMLP,0.9704613660937365,0.9566743686912144,0.9642777706852773,0.9704613660937365,0.9992336407503651
4,Baseline_use_wavelets_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
5,Baseline_use_wavelets_False_and_no_gMLP,0.9743829347211874,0.9712495616025497,0.9780924798720374,0.9743829347211874,0.9993237004764999
6,Baseline_use_gmlp_False,0.9704568210523765,0.9532965416974026,0.95689441330192,0.9704568210523765,0.9991885437150497
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9989959378171627,0.9994887635749905,0.9999875113582032,0.9989959378171627,0.9998647121359886
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9979123464858933,0.9988764063303484,0.9998697322405418,0.9979123464858933,0.9998647139412873
10,Baseline_use_kan_False,0.9695841731112803,0.9797089494872526,0.9981847568293124,0.9695841731112803,0.999188515484394
11,Baseline_use_smoe_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
12,Baseline_use_gc_False,0.9724221504074619,0.9793937239966602,0.9936741971194059,0.9724221504074619,0.9992786630422125
13,Baseline_use_lookahead_False,0.9743829347211874,0.9684173856068038,0.9745018603211317,0.9743829347211874,0.9993237643244379
