,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9665170212037483,0.9110154231448081,0.9155149220778792,0.9665170212037483,0.997792145207103
1,Transformer-FNET-128,0.9669385329330278,0.9067248601192618,0.9176061369129995,0.9065048746247135,0.9985575120080047
2,Transformer-MHA-64,0.9695532876435358,0.970689452572305,0.982266276368995,0.9695532876435358,0.9990081677356148
3,Transformer-MHA-128,0.962075653640165,0.9193890020698832,0.9082302196975319,0.962075653640165,0.9954571159488939
4,Transformer-FNET-64,0.964160094379834,0.9197014463150476,0.9159363029117722,0.964160094379834,0.9974315212365604
5,Transformer-FNET-128,0.9664410665878199,0.8410922104088433,0.841850049969478,0.8527421175774881,0.9976566003142248
6,Transformer-MHA-64,0.9853049508592021,0.8401191895902067,0.8217540159165669,0.8693867213463549,0.9985577545439593
7,Transformer-MHA-128,0.96774328793385,0.8632687450975307,0.8616547930248388,0.9072593324379845,0.9984222245882148
8,Transformer-FNET-64,0.9648316551982031,0.760456893885002,0.7391423675802221,0.8513220487042968,0.98699598384557
9,Transformer-FNET-128,0.9959237563678424,0.8988278487794057,0.8796111451462312,0.9336785215948522,0.9985580513774517
10,Transformer-MHA-64,0.9683913986162745,0.963940893347642,0.9707355956401794,0.9683913986162745,0.9979274056714006
11,Transformer-MHA-128,0.9680825458870389,0.9722479716508158,0.9860810550246403,0.9680825458870389,0.9988279787749262
12,Transformer-FNET-64,0.979576771616365,0.8309665384735909,0.8063073590476519,0.9183532233903422,0.992460742086412
13,Transformer-FNET-128,0.9659610699692653,0.8792798584682029,0.8718940928271504,0.9055885030961863,0.9976566060715499
14,Transformer-MHA-64,0.9892603448817894,0.9205278364883022,0.9156217560427333,0.9274315733266776,0.9985576473764949
15,Transformer-MHA-128,0.9685185278681181,0.8867781030478786,0.8713693476766664,0.9685185278681181,0.9970733247054934
16,Transformer-FNET-64,0.9455276740143188,0.7048262614686915,0.6908088711654224,0.7879397283452659,0.9926696987487483
17,Transformer-FNET-128,0.9659968568993703,0.8688069066857835,0.8524551994789669,0.9056220533431596,0.9921874217363288
18,Transformer-MHA-64,0.9695433048403144,0.9117877829176058,0.9234486157425429,0.9089468482877948,0.9987378025077455
19,Transformer-MHA-128,0.9949317801429369,0.9247918407885063,0.9181728007621117,0.9327485438840035,0.9994138316627079
20,Transformer-FNET-64,0.9888375101557099,0.8957512307345254,0.8771756749949342,0.9270351657709779,0.9974305854320942
21,Transformer-FNET-128,0.9653896390837102,0.8058481125781866,0.7875992165131352,0.8518143874268033,0.9967117931785782
22,Transformer-MHA-64,0.989334907993246,0.9729721119837359,0.9603341196115832,0.989334907993246,0.9979734107285055
23,Transformer-MHA-128,0.9678172975579464,0.9581982725848738,0.9605719347413226,0.9678172975579464,0.9989631006168034
24,Transformer-FNET-64,0.9579082300719481,0.8363678498160316,0.808732940304158,0.8980389656924513,0.9933029655454423
25,Transformer-FNET-128,0.9534223190237682,0.723322477074728,0.69095712132493,0.8412549873739129,0.9874055439046657
26,Transformer-MHA-64,0.9677880156153801,0.9557086533319196,0.9556438684775369,0.9677880156153801,0.9970285849379547
27,Transformer-MHA-128,0.9706069977026568,0.9486802509388272,0.9509417820955478,0.9706069977026568,0.9985577729610937
28,Transformer-FNET-64,0.9431602035999912,0.8002735155645675,0.7609506035751461,0.8842126908749917,0.9939723120031907
29,Transformer-FNET-128,0.9608023880042139,0.7978505256607998,0.7733313502587906,0.8477668129448945,0.9946450629871607
30,Transformer-MHA-64,0.9665579777421146,0.9408018669690639,0.9465516097412446,0.9665579777421146,0.9983776667865687
31,Transformer-MHA-128,0.968985928045271,0.9358222476317528,0.9262381358990077,0.968985928045271,0.9981974234101513
32,Transformer-FNET-64,0.9507083985424437,0.7470316053548413,0.7366774517308621,0.8388603516550974,0.9900868989763676
33,Transformer-FNET-128,0.9566213442563825,0.7888636779699186,0.7486427340781823,0.844077656696808,0.9940560719117244
34,Transformer-MHA-64,0.9689483577154587,0.9729860275746954,0.9859104336805523,0.9689483577154587,0.998782543433862
35,Transformer-MHA-128,0.9677798287926823,0.9653764310571129,0.9737051397153645,0.9677798287926823,0.9985577336764836
36,Transformer-FNET-64,0.955965837632444,0.7867066848913348,0.7777332503168016,0.8434992684992153,0.9958092218435096
37,Transformer-FNET-128,0.9679708782760837,0.8784331028241276,0.8726597449999254,0.9074726983838287,0.9980618824926791
38,Transformer-MHA-64,0.8880410138487276,0.7843104545849621,0.8316277467707156,0.8325384504831822,0.9671021021860918
39,Transformer-MHA-128,0.9582843979514172,0.9411652356776801,0.9428546344245545,0.9582843979514172,0.9987376818662104
