,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9580975295374582,0.9709925923080988,0.9859681526156215,0.9580975295374582,0.9680234224315309
1,Baseline_use_wavelets_False_and_use_fft_False,0.8290404910689663,0.656751281350299,0.7105283136339509,0.8290404910689663,0.5232817582246944
2,Baseline_use_fft_False,0.9658499020067722,0.9611982979506237,0.9566404196294713,0.9658499020067722,0.9559669163400272
3,Baseline_use_fft_False_and_no_gMLP,0.9624080799635276,0.9726301780907494,0.9842806222926194,0.9624080799635276,0.9697823260331792
4,Baseline_use_wavelets_False,0.8775405130693509,0.7189586821283332,0.7304611147331692,0.8775405130693509,0.6064861351815085
5,Baseline_use_wavelets_False_and_no_gMLP,0.7924708721334381,0.6030505499658753,0.7016374065780346,0.7924708721334381,0.4730178656685805
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9570985041671364,0.970401429568225,0.9858054866242286,0.9570985041671364,0.9669793258326761
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9574053545407336,0.9705174205492951,0.985828792084396,0.9574053545407336,0.9677545296534045
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.962571735040517,0.9392808781324948,0.9194099669088683,0.962571735040517,0.9292285132805952
9,Baseline_use_kan_False,0.9581769815707415,0.9709756894097518,0.9857225980194569,0.9581769815707415,0.9675252277121794
10,Baseline_use_smoe_False,0.9690681035037038,0.9705267712479598,0.9721565888213742,0.9690681035037038,0.9668293700814973
11,Baseline_use_gc_False,0.8507136272093861,0.6809700452032655,0.717829446822051,0.8507136272093861,0.5546258736808776
12,Baseline_use_lookahead_False,0.6267389887502873,0.4894551888472198,0.767287369946113,0.6267389887502873,0.616119501935478
13,Baseline,0.9572736827091496,0.9699750554319729,0.9847545514001915,0.9572736827091496,0.9671018311337054
14,Baseline_use_wavelets_False_and_use_fft_False,0.8847623727303952,0.7297551077281571,0.7348150545388763,0.8847623727303952,0.622345400514922
15,Baseline_use_fft_False,0.9657097052640099,0.9604233780909374,0.9552574750769082,0.9657097052640099,0.9550457683759223
16,Baseline_use_fft_False_and_no_gMLP,0.9652426758124012,0.9561731560848151,0.9475147397075894,0.9652426758124012,0.9499423461724109
17,Baseline_use_wavelets_False,0.874926992758832,0.7132899613057854,0.7286107558205335,0.874926992758832,0.5987872041104644
18,Baseline_use_wavelets_False_and_no_gMLP,0.9677088581943804,0.9522846077917713,0.9382354014260832,0.9677088581943804,0.9450258380607871
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9636317861815297,0.9742945092947274,0.9864791812746256,0.9636317861815297,0.9716260899460104
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9571146580761299,0.9382901290885387,0.921673910677525,0.9571146580761299,0.9284463779515855
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9644482583402257,0.9412751671152431,0.9214641204029276,0.9644482583402257,0.9315974870758602
22,Baseline_use_kan_False,0.9672017131060523,0.9545394603866587,0.9427608651493995,0.9672017131060523,0.9478152333000814
23,Baseline_use_smoe_False,0.9581007236637187,0.920008094754896,0.8914645024015071,0.9581007236637187,0.9047359433839356
24,Baseline_use_gc_False,0.9619421918721708,0.973149561082566,0.98601839740854,0.9619421918721708,0.9704279216938928
25,Baseline_use_lookahead_False,0.943525854459299,0.96157970125792,0.981323995516263,0.943525854459299,0.9478925637640346
26,Baseline,0.9660872803497312,0.9757654010015336,0.9867349824872851,0.9660872803497312,0.9731517386774122
27,Baseline_use_wavelets_False_and_use_fft_False,0.8765637627846447,0.7166262372851371,0.7297065106844741,0.8765637627846447,0.6033269769080977
28,Baseline_use_fft_False,0.967087360669446,0.9740079731267182,0.9816871766529118,0.967087360669446,0.9709026123607598
29,Baseline_use_fft_False_and_no_gMLP,0.959263292315334,0.9158169914224049,0.884721347159464,0.959263292315334,0.8991006986960507
30,Baseline_use_wavelets_False,0.8834449397297633,0.726735564503516,0.7337053481954752,0.8834449397297633,0.6180769803661995
31,Baseline_use_wavelets_False_and_no_gMLP,0.908478664619948,0.7715384610908013,0.7550203451758715,0.908478664619948,0.6861637329146655
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9551557129929122,0.9113129965544707,0.8802153645495202,0.9551557129929122,0.8934200714416375
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9669178033293385,0.974113937669224,0.9821332195677664,0.9669178033293385,0.9711718199154082
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9651569692883465,0.9674872127648392,0.9700527452708666,0.9651569692883465,0.9635157151472263
35,Baseline_use_kan_False,0.9618311295280842,0.9729354210346512,0.9856716649662508,0.9618311295280842,0.9702105070026255
36,Baseline_use_smoe_False,0.9618200741792786,0.9712730006361626,0.9819753925025019,0.9618200741792786,0.9681596974629809
37,Baseline_use_gc_False,0.9566482141717295,0.9623061150784848,0.9681868607697685,0.9566482141717295,0.9600745778634124
38,Baseline_use_lookahead_False,0.9651509079891988,0.9688184960586681,0.9728426375711745,0.9651509079891988,0.9650894097945536
