,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.999735327090604,0.9521727670548431,0.9284197755535335,0.999735327090604,0.9981867037732366
1,Baseline_use_wavelets_False_and_use_fft_False,0.8569912041249621,0.8093914551449001,0.7856013551665725,0.8569912041249621,0.9981858134042161
2,Baseline_use_fft_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
3,Baseline_use_fft_False_and_no_gMLP,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
4,Baseline_use_wavelets_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
5,Baseline_use_wavelets_False_and_no_gMLP,0.9996966939642099,0.9521726506005365,0.9284584980237154,0.9996966939642099,0.9981869412373625
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999735327090604,0.8332174841329503,0.8125,0.8747684112042785,0.9981880795200354
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999735327090604,0.8332174841329503,0.8125,0.8747684112042785,0.9981880795200354
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999735327090604,0.9447297563023191,0.9142857142857144,0.999735327090604,0.9981880695744477
9,Baseline_use_kan_False,0.999735327090604,0.9236771247233717,0.8809523809523808,0.999735327090604,0.9981880773087489
10,Baseline_use_smoe_False,0.999735327090604,0.9284390294852765,0.9047619047619048,0.999735327090604,0.9981884854903389
11,Baseline_use_gc_False,0.999848346982105,0.9713527046506335,0.9523809523809523,0.999848346982105,0.9990934436701514
12,Baseline_use_lookahead_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
13,Baseline,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
14,Baseline_use_wavelets_False_and_use_fft_False,0.9284197755535335,0.9046295503829952,0.9284584980237154,0.9284197755535335,0.9981858140915812
15,Baseline_use_fft_False,0.999848346982105,0.9713527046506335,0.9523809523809523,0.999848346982105,0.9990934436701514
16,Baseline_use_fft_False_and_no_gMLP,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
17,Baseline_use_wavelets_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
18,Baseline_use_wavelets_False_and_no_gMLP,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999735327090604,0.8332174841329503,0.8125,0.8747684112042785,0.9981880795200354
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999735327090604,0.9236771247233717,0.8809523809523808,0.999735327090604,0.9981880773087489
22,Baseline_use_kan_False,0.999735327090604,0.8748178378396545,0.8748673036093418,0.8747684112042785,0.998186704723747
23,Baseline_use_smoe_False,0.999735327090604,0.9046295056757527,0.8571428571428571,0.999735327090604,0.9981880784143096
24,Baseline_use_gc_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
25,Baseline_use_lookahead_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
