,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6681708055723804,0.7009848997070093,0.7887560315597287,0.6681708055723804,0.618024423193999
1,Transformer-FNET-128,0.6611851403189987,0.7383516653474894,0.9285671191553545,0.6611851403189987,0.6786906687806281
2,Transformer-MHA-64,0.7079648697758935,0.5807901397332292,0.5942959361453878,0.7079648697758935,0.43756656498323565
3,Transformer-MHA-128,0.6226024631536443,0.6366718831507563,0.6535297104589994,0.6226024631536443,0.6198560387920378
4,Transformer-FNET-64,0.7411972541893802,0.8083710757861486,0.9470085018746369,0.7411972541893802,0.7757875917639412
5,Transformer-FNET-128,0.7643347466182112,0.8348285700210343,0.9776007296528784,0.7643347466182112,0.8412031657322345
6,Transformer-MHA-64,0.7105996365838885,0.7300623371994663,0.7559190284278038,0.7105996365838885,0.7177647504238357
7,Transformer-MHA-128,0.7133353523117303,0.630172777075432,0.7209693837600814,0.7133353523117303,0.45332041138428714
8,Transformer-FNET-64,0.6047748839087421,0.6266660183778697,0.6741531165311653,0.6047748839087421,0.6071311936491652
9,Transformer-FNET-128,0.7165758126388048,0.6894505173128974,0.7988854057819575,0.7165758126388048,0.5570284981671989
10,Transformer-MHA-64,0.6475267514637594,0.5624872590610142,0.6402090711450839,0.6475267514637594,0.3586506836196321
11,Transformer-MHA-128,0.7456087219866747,0.7210282115545273,0.7732323232323232,0.7456087219866747,0.6661607998444791
12,Transformer-FNET-64,0.6427114879870786,0.7074506345748176,0.9267944192301227,0.6427114879870786,0.6801405685036793
13,Transformer-FNET-128,0.5840904502321825,0.6452854887259624,0.7636069340016708,0.5840904502321825,0.6579475530573246
14,Transformer-MHA-64,0.6480920654149002,0.533278467998787,0.5994444572508703,0.6480920654149002,0.3446275761505276
15,Transformer-MHA-128,0.6407227942661015,0.6321492422142884,0.7700744723982673,0.6407227942661015,0.6607396792418873
16,Transformer-FNET-64,0.6980012113870382,0.6870221404076337,0.7048596797992616,0.6980012113870382,0.6168863741466366
17,Transformer-FNET-128,0.7406723198061781,0.78993783993784,0.8604122870994036,0.7406723198061781,0.7693603481668225
18,Transformer-MHA-64,0.5992731677771048,0.5463773687420871,0.516850043823728,0.5992731677771048,0.45458353795272893
19,Transformer-MHA-128,0.6798304058146578,0.6921322699608501,0.7057186368423832,0.6798304058146578,0.6763077273142332
