,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9173788308372379,0.8715159956763299,0.8438835797423492,0.9173788308372379,0.814858883954696
1,Transformer-FNET-128,0.8782701760055943,0.7759637360833095,0.7618126461885536,0.8782701760055943,0.6648077387493961
2,Transformer-MHA-64,0.9416927686238417,0.9195972040039226,0.9009341162457277,0.9416927686238417,0.8865585771791848
3,Transformer-MHA-128,0.9540652469382697,0.9484045976090515,0.9428997612338387,0.9540652469382697,0.929317678928903
4,Transformer-FNET-64,0.8854436211890052,0.7932758397557457,0.7729159194214336,0.8854436211890052,0.6896892103995137
5,Transformer-FNET-128,0.9337212152936961,0.9127798865098544,0.8957243655351967,0.9337212152936961,0.8788251886741585
6,Transformer-MHA-64,0.9390148857827674,0.9232979466680534,0.9087865986869152,0.9390148857827674,0.897522860889619
7,Transformer-MHA-128,0.9585150375396182,0.9514702128523217,0.9446618369760248,0.9585150375396182,0.9334255639810349
8,Transformer-FNET-64,0.9081868362426553,0.8427611197663073,0.8121605539021987,0.9081868362426553,0.7691555264723755
9,Transformer-FNET-128,0.8848462322971301,0.7814418901959277,0.7667729287626627,0.8848462322971301,0.672014460258365
10,Transformer-MHA-64,0.9032983037897027,0.8073558874829305,0.7822184914375209,0.9032983037897027,0.7127522089492164
11,Transformer-MHA-128,0.95076222276501,0.9504527529215591,0.9501522737818302,0.95076222276501,0.9352206752031627
12,Transformer-FNET-64,0.9056217659014362,0.836552582320127,0.8070703291281212,0.9056217659014362,0.7591001923273585
13,Transformer-FNET-128,0.9167300219115301,0.8576834604485183,0.8278609033570931,0.9167300219115301,0.7914697995779435
14,Transformer-MHA-64,0.9186312325881406,0.850102267905677,0.8193130348450542,0.9186312325881406,0.777297242921332
15,Transformer-MHA-128,0.9580138067840304,0.9578750007268045,0.9579324834237387,0.9580138067840304,0.9427849376501262
16,Transformer-FNET-64,0.8936662566691925,0.8035596004798946,0.7792456096844577,0.8936662566691925,0.7066509751695068
17,Transformer-FNET-128,0.867551879942955,0.7582995371247018,0.7527988188524809,0.867551879942955,0.6349114422451143
18,Transformer-MHA-64,0.9135074031597238,0.8375025133964158,0.8042656872300085,0.9135074031597238,0.7615120487931591
19,Transformer-MHA-128,0.918219133246891,0.8495271315868437,0.8197274620600666,0.918219133246891,0.7784101713255741
20,Transformer-FNET-64,0.9141239905392572,0.8559545218569281,0.8236896836431319,0.9141239905392572,0.7907921419475696
21,Transformer-FNET-128,0.8627077351313007,0.7428749033553202,0.7443632954634224,0.8627077351313007,0.6173328405533419
22,Transformer-MHA-64,0.8941473933409431,0.7912902493586067,0.7727577486218689,0.8941473933409431,0.6874604462695241
23,Transformer-MHA-128,0.9351726614848449,0.8798531498288084,0.8479658843034308,0.9351726614848449,0.8249123236206392
24,Transformer-FNET-64,0.8566651261374663,0.742436700314416,0.7436726326738793,0.8566651261374663,0.6137074736962587
25,Transformer-FNET-128,0.8572572531105062,0.7503549421812945,0.7495349654808048,0.8572572531105062,0.622427826991675
26,Transformer-MHA-64,0.9470241310283386,0.9152081040246749,0.8892806839753239,0.9470241310283386,0.8812204733436536
27,Transformer-MHA-128,0.9503856875775818,0.9129873306853408,0.8863649401729538,0.9503856875775818,0.8769547486167033
28,Transformer-FNET-64,0.8620561231597987,0.755955625512894,0.7491156531577449,0.8620561231597987,0.6320057826760246
29,Transformer-FNET-128,0.9048104893297514,0.8409373417726416,0.8126355322495148,0.9048104893297514,0.7656007919375659
30,Transformer-MHA-64,0.905681178558916,0.81811757645292,0.7915103440279719,0.905681178558916,0.7286142627942073
31,Transformer-MHA-128,0.9441823258335792,0.9098820988527178,0.8837344261732869,0.9441823258335792,0.8720554791561167
32,Transformer-FNET-64,0.861592085905419,0.7505791052304266,0.7492328393046613,0.861592085905419,0.6246865763102146
33,Transformer-FNET-128,0.9369362198052616,0.9143246934242221,0.8962669577035548,0.9369362198052616,0.8810034671227671
34,Transformer-MHA-64,0.9529841521148885,0.9569171431612716,0.9611710497400369,0.9529841521148885,0.944295382463149
35,Transformer-MHA-128,0.9253484992360427,0.8605328590994358,0.8297240252461949,0.9253484992360427,0.7974910495740185
