,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9987976685224392,0.7437416331874003,0.7387820512820513,0.7490982513918294,0.9942612910282509
1,Baseline_use_wavelets_False_and_use_fft_False,0.9961260961260961,0.7697584875874749,0.75,0.8538223681080824,0.990006126709946
2,Baseline_use_fft_False,0.9956428552758828,0.5613492484948446,0.5423076923076924,0.5973857131655297,0.9787639097831368
3,Baseline_use_fft_False_and_no_gMLP,0.9990825688073395,0.8281771586279405,0.8095238095238094,0.8563564875491482,0.9956949997637107
4,Baseline_use_wavelets_False,0.9985754985754985,0.8455407253690516,0.836734693877551,0.8559218559218559,0.9928468711139204
5,Baseline_use_wavelets_False_and_no_gMLP,0.9994301994301994,0.9868940990516334,0.9761904761904762,0.9994301994301994,0.9971272641843659
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9988603988603989,0.8546903378804179,0.8532645774960422,0.8561660561660561,0.9942613869251878
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9997150997150998,0.9931907613344739,0.9871794871794872,0.9997150997150998,0.9985612643515511
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9953651852734421,0.854888192425139,0.8566561207106352,0.8531701588058075,0.9956802910969919
9,Baseline_use_kan_False,0.9956709956709956,0.99752260343692,0.9994321408290744,0.9956709956709956,0.9971197498337454
10,Baseline_use_smoe_False,0.9988185786350924,0.7487497278794417,0.7483974358974359,0.7491139339763193,0.994261795664721
11,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
12,Baseline_use_lookahead_False,0.9991243890326459,0.8558453978120149,0.8553113553113553,0.8563923334565536,0.995692696869902
13,Baseline,0.997244787153044,0.85491218737972,0.8550433693290836,0.8547812461311806,0.9956808174832628
14,Baseline_use_wavelets_False_and_use_fft_False,0.9997150997150998,0.9987821591839362,0.9978632478632479,0.9997150997150998,0.9985611055063746
15,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
16,Baseline_use_fft_False_and_no_gMLP,0.9994301994301994,0.997577859735394,0.9957805907172995,0.9994301994301994,0.9971266307293678
17,Baseline_use_wavelets_False,0.9994301994301994,0.9597146118721461,0.9316239316239315,0.9994301994301994,0.9971261411391336
18,Baseline_use_wavelets_False_and_no_gMLP,0.9982905982905983,0.9928908934707904,0.9879518072289156,0.9982905982905983,0.9914324449710716
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9864222763305333,0.7601888739224457,0.746031746031746,0.8455048082833142,0.9885453262267547
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9997150997150998,0.9931907613344739,0.9871794871794872,0.9997150997150998,0.9985612643515511
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
22,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
23,Baseline_use_smoe_False,0.9951279437517969,0.8451508942248394,0.8055555555555555,0.9951279437517969,0.9774300254207025
24,Baseline_use_gc_False,0.9956709956709956,0.9909980223830285,0.9868950730725475,0.9956709956709956,0.9971199360659001
25,Baseline_use_lookahead_False,0.9969389767554905,0.7605862454762345,0.7142857142857143,0.8545191229332776,0.9942565095348853
