,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.972418178133931,0.9817416349769008,0.998203147160626,0.972418178133931,0.9992336103880622
1,Baseline_use_wavelets_False_and_use_fft_False,0.9704613660937365,0.9802169400797877,0.9983148709758854,0.9704613660937365,0.9992335846298414
2,Baseline_use_fft_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
3,Baseline_use_fft_False_and_no_gMLP,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
4,Baseline_use_wavelets_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
5,Baseline_use_wavelets_False_and_no_gMLP,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9724221504074619,0.9822677417279991,0.999233028191761,0.9724221504074619,0.9992785492893821
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
9,Baseline_use_kan_False,0.9998685857582589,0.9983798767719618,0.9969617533692602,0.9998685857582589,0.9998647187150677
10,Baseline_use_smoe_False,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
11,Baseline_use_gc_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
12,Baseline_use_lookahead_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
13,Baseline,0.972417605366102,0.9588772505707492,0.9645583542991943,0.972417605366102,0.999233620832551
14,Baseline_use_wavelets_False_and_use_fft_False,0.9979123464858933,0.998638558584151,0.999396818304325,0.9979123464858933,0.9998647152456399
15,Baseline_use_fft_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
16,Baseline_use_fft_False_and_no_gMLP,0.9704568210523765,0.9801481778379112,0.9981847568293124,0.9704568210523765,0.9991885309501789
17,Baseline_use_wavelets_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
18,Baseline_use_wavelets_False_and_no_gMLP,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9704613660937365,0.9750765886415576,0.9890030454105522,0.9704613660937365,0.9992336398768462
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9724221504074619,0.9793937239966602,0.9936741971194059,0.9724221504074619,0.9992786630422125
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9704613660937365,0.9782083855283511,0.9944578343297586,0.9704613660937365,0.9992335296173446
22,Baseline_use_kan_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
23,Baseline_use_smoe_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
24,Baseline_use_gc_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
25,Baseline_use_lookahead_False,0.9763437190349129,0.9782043248135487,0.9864070654411544,0.9763437190349129,0.9993687816037969
