,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.971922598991351,0.9785016203927923,0.9855873614513447,0.971922598991351,0.97196027889772
1,Baseline_use_wavelets_False_and_use_fft_False,0.9728502858215595,0.9789893591834948,0.9858183982830074,0.9728502858215595,0.9741420445835134
2,Baseline_use_fft_False,0.9715446461633928,0.9776571714032368,0.9842484925498395,0.9715446461633928,0.9719685835160142
3,Baseline_use_fft_False_and_no_gMLP,0.974800536061089,0.9801697680720008,0.9861153766319587,0.974800536061089,0.9755523851936269
4,Baseline_use_wavelets_False,0.9769097157289877,0.9736501214206239,0.9704535308186738,0.9769097157289877,0.9671266500267762
5,Baseline_use_wavelets_False_and_no_gMLP,0.9446861821812315,0.8593338304251036,0.826349995018323,0.9446861821812315,0.811252203888234
6,Baseline_use_gmlp_False,0.9709763552449028,0.9778997988640562,0.9856471577509541,0.9709763552449028,0.9728799955638714
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9781428954189497,0.9821275677198429,0.9865085170608827,0.9781428954189497,0.977853224041006
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9760923727187828,0.979051856616192,0.9823009619690805,0.9760923727187828,0.974035935446227
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9754930721344474,0.9802415274982813,0.98547768436893,0.9754930721344474,0.9756314892765809
10,Baseline_use_kan_False,0.971192753625779,0.9780294418516752,0.9856227756170002,0.971192753625779,0.9727259042751483
11,Baseline_use_smoe_False,0.9733691209710047,0.9793531472070391,0.985992353802461,0.9733691209710047,0.9745113582978514
12,Baseline_use_gc_False,0.8483738064239182,0.6986323142634983,0.737776753983813,0.8483738064239182,0.5910876030245373
13,Baseline_use_lookahead_False,0.9712849453167453,0.978288020271041,0.9861224956908231,0.9712849453167453,0.9733227522376233
14,Baseline,0.9731223317397127,0.9791546809208955,0.9858646932253365,0.9731223317397127,0.9743652003135815
15,Baseline_use_wavelets_False_and_use_fft_False,0.9763292830955385,0.9785506077753466,0.9809976135902237,0.9763292830955385,0.973388427663249
16,Baseline_use_fft_False,0.9729551735916456,0.9790529732457841,0.9858340651421592,0.9729551735916456,0.974216249829512
17,Baseline_use_fft_False_and_no_gMLP,0.9720111836608716,0.9784797943310517,0.9856930618034965,0.9720111836608716,0.9735483884285778
18,Baseline_use_wavelets_False,0.9784423423545708,0.9760033995252074,0.9736187020623418,0.9784423423545708,0.9700898514732325
19,Baseline_use_wavelets_False_and_no_gMLP,0.9722209592010436,0.9786072943957599,0.9857243962101894,0.9722209592010436,0.973696804840564
20,Baseline_use_gmlp_False,0.9727453980514736,0.9789257270212254,0.9858027313824147,0.9727453980514736,0.9740678389448928
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9728217177143462,0.9790224491124836,0.9859278294907788,0.9728217177143462,0.9742161873661006
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9740040512925057,0.9796881203406661,0.9859907317524478,0.9740040512925057,0.9749582808328324
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9731649491318176,0.979180147106303,0.9858653987415716,0.9731649491318176,0.9743646591461453
24,Baseline_use_kan_False,0.9730600613617316,0.9791165692170648,0.9858497319612285,0.9730600613617316,0.9742904546835143
25,Baseline_use_smoe_False,0.9636904084784478,0.97361220521279,0.9850073898927115,0.9636904084784478,0.9679814467950999
26,Baseline_use_gc_False,0.976100842961027,0.9802015120024308,0.9847104953142173,0.976100842961027,0.9754916807955516
27,Baseline_use_lookahead_False,0.972864335106451,0.9790479712796097,0.9859285023287613,0.972864335106451,0.9742156369038267
