,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.999735327090604,0.9521727670548431,0.9284197755535335,0.999735327090604,0.9981867037732366
1,Baseline_use_wavelets_False_and_use_fft_False,0.999735327090604,0.9427247437709907,0.9047619047619048,0.999735327090604,0.9981880762033535
2,Baseline_use_fft_False,0.999735327090604,0.9447297563023191,0.9142857142857144,0.999735327090604,0.9981880695744477
3,Baseline_use_fft_False_and_no_gMLP,0.9996223071991032,0.8331016662380037,0.8123673036093418,0.8746695187992153,0.997282399199193
4,Baseline_use_wavelets_False,0.999735327090604,0.7776748007107706,0.7777777777777778,0.7775719210704698,0.9981880806259261
5,Baseline_use_wavelets_False_and_no_gMLP,0.999735327090604,0.9284390294852765,0.9047619047619048,0.999735327090604,0.9981884854903389
6,Baseline_use_gmlp_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999735327090604,0.8332174841329503,0.8125,0.8747684112042785,0.9981880795200354
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
10,Baseline_use_kan_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
11,Baseline_use_smoe_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
12,Baseline_use_gc_False,0.999735327090604,0.9236771247233717,0.8809523809523808,0.999735327090604,0.9981880773087489
13,Baseline_use_lookahead_False,0.999848346982105,0.9523050856030144,0.9285714285714286,0.999848346982105,0.9990934441969026
14,Baseline,0.999735327090604,0.8332174841329503,0.8125,0.8747684112042785,0.9981880795200354
15,Baseline_use_wavelets_False_and_use_fft_False,0.999583674072709,0.9283065945004834,0.9046488848704038,0.999583674072709,0.9972818545729275
16,Baseline_use_fft_False,0.999735327090604,0.8683052034311958,0.8625,0.8747684112042785,0.9981880706788525
