,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9685825609889251,0.9714962297137908,0.975240867349628,0.9685825609889251,0.9564448639777706
1,Baseline_use_wavelets_False_and_use_fft_False,0.9727754352459018,0.9746584335560948,0.9770400574231455,0.9727754352459018,0.9610312630324683
2,Baseline_use_fft_False,0.9739130164663203,0.9752759500748458,0.9770211877010965,0.9739130164663203,0.9617680911944139
3,Baseline_use_fft_False_and_no_gMLP,0.9718950362648515,0.9734260034776144,0.975472388179583,0.9718950362648515,0.9592569573055112
4,Baseline_use_wavelets_False,0.974311105638295,0.975530463268442,0.9771352876607909,0.974311105638295,0.96222204288664
5,Baseline_use_wavelets_False_and_no_gMLP,0.9734356411477726,0.974947727555774,0.9769021023272692,0.9734356411477726,0.9613294575724795
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9715018815834049,0.9735661163239184,0.9762918311299088,0.9715018815834049,0.95972041946121
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9718658026573522,0.9729022895748014,0.9742754185944137,0.9718658026573522,0.958041063799796
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9711604787069352,0.9739677269786813,0.9774225233836461,0.9711604787069352,0.9598433685108487
9,Baseline_use_kan_False,0.9710228069989538,0.9730041584359009,0.9755550087483633,0.9710228069989538,0.9583571844318767
10,Baseline_use_smoe_False,0.9725066847595746,0.9737068058617925,0.9752741278738002,0.9725066847595746,0.959384003873805
11,Baseline_use_gc_False,0.9709986303623683,0.9736474016129071,0.9769317693219136,0.9709986303623683,0.9593964304652988
12,Baseline_use_lookahead_False,0.9727004652934165,0.9711245617609309,0.9696943649403055,0.9727004652934165,0.9551717602539921
13,Baseline,0.9705063699186463,0.9711861304183845,0.9721964578712079,0.9705063699186463,0.9553726804385169
14,Baseline_use_wavelets_False_and_use_fft_False,0.9744129508091414,0.9749503944936317,0.9757728067178945,0.9744129508091414,0.9611826020388325
15,Baseline_use_fft_False,0.9711588610946228,0.9736968949444121,0.9769006465594697,0.9711588610946228,0.9598552275910148
16,Baseline_use_fft_False_and_no_gMLP,0.9733822309036877,0.9748893993351185,0.976802405308021,0.9733822309036877,0.961171449461353
17,Baseline_use_wavelets_False,0.9636453010197717,0.9676825759074109,0.9730236060852401,0.9636453010197717,0.9511349519681424
18,Baseline_use_wavelets_False_and_no_gMLP,0.9640370558011574,0.9590997483354329,0.9544520891182259,0.9640370558011574,0.9356889211718129
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9681035272312695,0.9711905787050702,0.9750337224496956,0.9681035272312695,0.9555244473983221
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9673590598655021,0.9702905521557664,0.9739414959650938,0.9673590598655021,0.9538757668852309
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9713416100243552,0.9733149264051191,0.9757490076877081,0.9713416100243552,0.9587790149245076
22,Baseline_use_kan_False,0.9728271870508789,0.9745949458955095,0.9768032983211192,0.9728271870508789,0.9607226453785149
23,Baseline_use_smoe_False,0.972147575695769,0.9742943607379865,0.9768930784790552,0.972147575695769,0.960563469581859
24,Baseline_use_gc_False,0.9720844189510146,0.9739234562672653,0.976303547297504,0.9720844189510146,0.9599979331890566
25,Baseline_use_lookahead_False,0.9728531037801628,0.9746941934944576,0.9770173000297732,0.9728531037801628,0.9610285619810721
26,Baseline,0.9698946397703326,0.9704527796237175,0.9713186130878175,0.9698946397703326,0.9543298835765539
27,Baseline_use_wavelets_False_and_use_fft_False,0.9685842194280329,0.9718654359377646,0.9759618957123705,0.9685842194280329,0.9568791794634868
28,Baseline_use_fft_False,0.9685049332814595,0.9720506394918512,0.9764310635064763,0.9685049332814595,0.9568771837066703
29,Baseline_use_fft_False_and_no_gMLP,0.9722187329539852,0.974172923975191,0.9766198427760306,0.9722187329539852,0.9601315657775975
30,Baseline_use_wavelets_False,0.9694574071830075,0.968080897472178,0.9668847445261307,0.9694574071830075,0.9505564271979977
31,Baseline_use_wavelets_False_and_no_gMLP,0.9737561026122815,0.975536030438214,0.9777758095598673,0.9737561026122815,0.9622197656792216
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9686698943702651,0.9715630773136458,0.9750525212401042,0.9686698943702651,0.9559417228984227
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9663409891764706,0.968275263008653,0.9707208685369323,0.9663409891764706,0.9505783175026083
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9665743272881259,0.9704814809989338,0.9752727806117015,0.9665743272881259,0.9543357418394156
35,Baseline_use_kan_False,0.9700807055782802,0.970498189765551,0.971212918214358,0.9700807055782802,0.9541865458086148
36,Baseline_use_smoe_False,0.9676537270811131,0.971287967044249,0.975809659910604,0.9676537270811131,0.9558396542575884
37,Baseline_use_gc_False,0.9727754352459018,0.9747728088334098,0.9772703182734719,0.9727754352459018,0.9610278150723052
38,Baseline_use_lookahead_False,0.9694580663062428,0.9725638812240117,0.9764157810581082,0.9694580663062428,0.9577649981690821
