,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8943746729461015,0.8834116704764239,0.8729570457922238,0.8943746729461015,0.9456312202702267
1,Baseline_use_wavelets_False_and_use_fft_False,0.8653976975405547,0.7399626767910695,0.677696575372742,0.8653976975405547,0.7956287599826429
2,Baseline_use_fft_False,0.8685635792778651,0.8556321037224001,0.8434795521552916,0.8685635792778651,0.9391821769123894
3,Baseline_use_fft_False_and_no_gMLP,0.8918236525379383,0.8302959387033088,0.7915614470622523,0.8918236525379383,0.9175392197852286
4,Baseline_use_wavelets_False,0.9442569335426478,0.7173681342305641,0.6956086981015154,0.9442569335426478,0.746943833881788
5,Baseline_use_wavelets_False_and_no_gMLP,0.9350078492935636,0.7223185436946373,0.6926667334156571,0.9350078492935636,0.7641641979639038
6,Baseline_use_gmlp_False,0.9006279434850862,0.7261986018035906,0.6986297187482465,0.9006279434850862,0.7829032485010647
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9368131868131869,0.7863052211870817,0.740293733685898,0.9368131868131869,0.8670330729990172
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8670329670329671,0.8246776096985302,0.794669036513051,0.8670329670329671,0.9220979240209274
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8822998430141288,0.7474692468074015,0.7126017549946311,0.8822998430141288,0.8306387156011795
10,Baseline_use_kan_False,0.892333856619571,0.8384603219048804,0.8020281666385563,0.892333856619571,0.9229654916941311
11,Baseline_use_smoe_False,0.8690737833594976,0.8675089556722998,0.8663387978142078,0.8690737833594976,0.9450920261039168
12,Baseline_use_gc_False,0.873731030873888,0.7671725879643528,0.7300221511482484,0.873731030873888,0.8641288521255969
13,Baseline_use_lookahead_False,0.8689037153322867,0.8702462500263574,0.8726169194034329,0.8689037153322867,0.9431015672389146
14,Baseline,0.9359628466771324,0.7801685347362423,0.7354997717099935,0.9359628466771324,0.8597886686478945
