,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
1,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
2,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
3,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
4,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
5,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
6,Baseline_use_gmlp_False,0.993124942356357,0.9954808531419582,0.9980612434459967,0.993124942356357,0.9995482618101961
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9821510054564944,0.9888010684987903,0.9970241272964047,0.9821510054564944,0.9990322297974739
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9986119108062884,0.9985932138467264,0.9985872094932896,0.9986119108062884,0.9998063821555365
10,Baseline_use_kan_False,0.9958684265813227,0.9931378595326747,0.9907829766890567,0.9958684265813227,0.9996773153764412
11,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
12,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
13,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
14,Baseline,0.9917532002438743,0.9946801348366338,0.9979305299904563,0.9917532002438743,0.9994837425973974
15,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
16,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
17,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
18,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
19,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
20,Baseline_use_gmlp_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
24,Baseline_use_kan_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
25,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
26,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
27,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
28,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
29,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
30,Baseline_use_fft_False,0.9986119108062884,0.9985932138467264,0.9985872094932896,0.9986119108062884,0.9998063821555365
31,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
32,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
33,Baseline_use_wavelets_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
34,Baseline_use_gmlp_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
38,Baseline_use_kan_False,0.9848944896814599,0.9912089632005249,0.9986267796633209,0.9848944896814599,0.9991609864829475
39,Baseline_use_smoe_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
40,Baseline_use_gc_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
41,Baseline_use_lookahead_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
42,Baseline,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
43,Baseline_use_wavelets_False_and_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
44,Baseline_use_fft_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
45,Baseline_use_fft_False_and_no_gMLP,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
46,Baseline_use_wavelets_False,0.9999836529187713,0.9993495219288236,0.9987194846255648,0.9999836529187713,0.9998709231196048
