,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8305673329295377,0.737677307504183,0.6917758903918073,0.8305673329295377,0.6880745238796612
1,Baseline_use_wavelets_False_and_use_fft_False,0.8200787401574804,0.7458414285049431,0.724021944073396,0.8200787401574804,0.6944882611878432
2,Baseline_use_fft_False,0.8133757318796689,0.7554889060887513,0.7624624211130234,0.8133757318796689,0.6712289536823659
3,Baseline_use_fft_False_and_no_gMLP,0.8426307288512013,0.7348505843901468,0.6758591548772582,0.8426307288512013,0.6930798517448674
4,Baseline_use_wavelets_False,0.8170502725620836,0.7312581242444075,0.6859929504125611,0.8170502725620836,0.7010044179691239
5,Baseline_use_wavelets_False_and_no_gMLP,0.8384514435695539,0.8303616033755276,0.8707797884430457,0.8384514435695539,0.8237031257843439
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.7015647082576217,0.5453836674958787,0.6101182928356276,0.7015647082576217,0.35334600369780517
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8049767817484353,0.7204261117304597,0.7104957950546186,0.8049767817484353,0.6372324969063817
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.812729658792651,0.7374048913792058,0.7341623878608269,0.812729658792651,0.6478427594942294
9,Baseline_use_kan_False,0.8079648697758935,0.7693872690776716,0.768095238095238,0.8079648697758935,0.7165771089285988
10,Baseline_use_smoe_False,0.6926509186351706,0.5475646919686389,0.633914666121368,0.6926509186351706,0.35837370365353766
11,Baseline_use_gc_False,0.8205632949727438,0.7986385202912268,0.7798228633279214,0.8205632949727438,0.8125051643576643
12,Baseline_use_lookahead_False,0.8279527559055119,0.7552323305885231,0.7107404483046015,0.8279527559055119,0.7410127262414009
13,Baseline,0.8384514435695539,0.8115849912498453,0.7987965982819949,0.8384514435695539,0.8203552617615335
14,Baseline_use_wavelets_False_and_use_fft_False,0.8587926509186352,0.8554643313264002,0.8681666666666666,0.8587926509186352,0.8594669961475431
15,Baseline_use_fft_False,0.8175752069452858,0.7312851964014756,0.6832393307389597,0.8175752069452858,0.7018901177115736
16,Baseline_use_fft_False_and_no_gMLP,0.8316172016959419,0.7507978611426888,0.7128107392258336,0.8316172016959419,0.6873529901174478
17,Baseline_use_wavelets_False,0.8311023622047244,0.8066319015489879,0.8430269288478244,0.8311023622047244,0.7621089647852102
18,Baseline_use_wavelets_False_and_no_gMLP,0.8102362204724409,0.774257395994126,0.8209857584857585,0.8102362204724409,0.733727562211617
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8247627700383605,0.8433148062374557,0.8768986623150979,0.8247627700383605,0.8566485595491135
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8447405612759944,0.7980943497732783,0.7743848986585631,0.8447405612759944,0.7807288344999879
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.7969412477286492,0.7003667033370004,0.650005581176747,0.7969412477286492,0.6535325389714771
22,Baseline_use_kan_False,0.803401978598829,0.7267005767711695,0.7381874962520123,0.803401978598829,0.6300666367141008
23,Baseline_use_smoe_False,0.8316272965879264,0.8004871579459053,0.8206264020217509,0.8316272965879264,0.7695488872719253
24,Baseline_use_gc_False,0.8411972541893803,0.8633165379874961,0.908006370998497,0.8411972541893803,0.8893646626722729
25,Baseline_use_lookahead_False,0.8253280839895014,0.7859608378870674,0.8213747645951036,0.8253280839895014,0.7268251458706939
26,Baseline,0.8170502725620836,0.7741498081618415,0.8106212215968314,0.8170502725620836,0.6997794282632566
27,Baseline_use_wavelets_False_and_use_fft_False,0.8311023622047244,0.8054020093573554,0.8416302750440531,0.8311023622047244,0.7639933536461185
28,Baseline_use_fft_False,0.8368665455279629,0.7276912733629152,0.674337885259031,0.8368665455279629,0.727331303930232
29,Baseline_use_fft_False_and_no_gMLP,0.8084898041590955,0.772255585068843,0.7713128120217756,0.8084898041590955,0.7181517435810503
30,Baseline_use_wavelets_False,0.8488188976377953,0.8224747788560389,0.8482533911638389,0.8488188976377953,0.7791092719799141
31,Baseline_use_wavelets_False_and_no_gMLP,0.8358267716535434,0.8152808765927909,0.8376594168042537,0.8358267716535434,0.8017226465253426
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.826862507571169,0.8555306091902409,0.8981105699855699,0.826862507571169,0.8799959552810455
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8133757318796689,0.7468762494310127,0.7432890429424225,0.8133757318796689,0.6805617829562564
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8003735110034323,0.7147067422485803,0.6972434089088567,0.8003735110034323,0.6320113922347799
35,Baseline_use_kan_False,0.8149505350292753,0.7466000391926317,0.7333935854653318,0.8149505350292753,0.6892938955923016
36,Baseline_use_smoe_False,0.8220472440944881,0.6618431702925484,0.5966777540191653,0.8220472440944881,0.6243685305103908
37,Baseline_use_gc_False,0.8197960831819099,0.7794759540522253,0.7686368653421635,0.8197960831819099,0.7369123689204482
38,Baseline_use_lookahead_False,0.8186250757116899,0.7720017890230656,0.792026674820542,0.8186250757116899,0.7113994657724321
39,Baseline,0.8233494851605089,0.7874603174603174,0.8076489674479624,0.8233494851605089,0.739776791057163
40,Baseline_use_wavelets_False_and_use_fft_False,0.8353018372703412,0.7893374287275202,0.7607283451006327,0.8353018372703412,0.7969717643600389
41,Baseline_use_fft_False,0.8070765192812438,0.7256318082788672,0.7147972772224698,0.8070765192812438,0.6474519651423328
42,Baseline_use_fft_False_and_no_gMLP,0.8562891177064406,0.8668408772130287,0.9066290434711487,0.8562891177064406,0.8826879432310198
43,Baseline_use_wavelets_False,0.8384514435695539,0.8303616033755276,0.8707797884430457,0.8384514435695539,0.8237031257843439
44,Baseline_use_wavelets_False_and_no_gMLP,0.8410761154855644,0.8195975495483009,0.8057267476479696,0.8410761154855644,0.8441506759236083
45,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8442156268927922,0.7889274894433332,0.7544518027961736,0.8442156268927922,0.7766495159744281
46,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8149505350292753,0.7521593335189826,0.7480996181345967,0.8149505350292753,0.6870964817192735
47,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8337270341207349,0.8131172184237488,0.8502070795314824,0.8337270341207349,0.7853706395441457
48,Baseline_use_kan_False,0.8501110438118312,0.8489412240359832,0.856995194993854,0.8501110438118312,0.8626477059829278
49,Baseline_use_smoe_False,0.8242782152230971,0.7556002623140063,0.7270796571471182,0.8242782152230971,0.7173315962887226
50,Baseline_use_gc_False,0.8263779527559055,0.7902114247798288,0.8256083453495288,0.8263779527559055,0.7314731895506494
51,Baseline_use_lookahead_False,0.8285988289925298,0.7627973414333441,0.7155503715150217,0.8285988289925298,0.7771016951545183
52,Baseline,0.8342418736119525,0.7520624524864169,0.7098044255938992,0.8342418736119525,0.7095761747127843
53,Baseline_use_wavelets_False_and_use_fft_False,0.8279527559055119,0.795135877006583,0.8306634174922766,0.8279527559055119,0.7419422210332577
54,Baseline_use_fft_False,0.8287199676963457,0.8199939884663398,0.8361983352981102,0.8287199676963457,0.8103143309579616
55,Baseline_use_fft_False_and_no_gMLP,0.8191399152029074,0.7184127593105151,0.6743425588496011,0.8191399152029074,0.6445097685959863
56,Baseline_use_wavelets_False,0.8269028871391075,0.7907543129448666,0.8261704588964651,0.8269028871391075,0.7370024357078827
57,Baseline_use_wavelets_False_and_no_gMLP,0.8321522309711286,0.7844647408460009,0.7645806913146685,0.8321522309711286,0.7729582461922416
58,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8250454270139308,0.8106253023705854,0.8355262279631445,0.8250454270139308,0.7791161213101547
59,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.829527559055118,0.7990349708415402,0.8347437586568022,0.829527559055118,0.7547405131546655
60,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8473753280839894,0.8671223946057719,0.9016172506738545,0.8473753280839894,0.9084067299885807
61,Baseline_use_kan_False,0.8502624671916011,0.7180701390376999,0.6500135045292114,0.8502624671916011,0.6888252253543536
62,Baseline_use_smoe_False,0.8352917423783567,0.7253805646240634,0.6632399975802564,0.8352917423783567,0.7159922502307612
63,Baseline_use_gc_False,0.8332020997375329,0.8085199824330259,0.8298546867739619,0.8332020997375329,0.777694777023428
64,Baseline_use_lookahead_False,0.7822834645669291,0.6814934118083724,0.7229500013696587,0.7822834645669291,0.5332290841457598
65,Baseline,0.8353018372703412,0.8186890570674196,0.8566494169942446,0.8353018372703412,0.7976550435805166
66,Baseline_use_wavelets_False_and_use_fft_False,0.8379265091863518,0.8231451546610002,0.8472737494488046,0.8379265091863518,0.8190873306855623
67,Baseline_use_fft_False,0.8247627700383605,0.8433148062374557,0.8768986623150979,0.8247627700383605,0.8566485595491135
68,Baseline_use_fft_False_and_no_gMLP,0.8473652331920049,0.8161349801722614,0.809190791768399,0.8473652331920049,0.8013976456929413
69,Baseline_use_wavelets_False,0.8417221885725823,0.8618448852799762,0.9049932465299131,0.8417221885725823,0.8964961775990957
70,Baseline_use_wavelets_False_and_no_gMLP,0.8384514435695539,0.8374927388972176,0.8980182004375553,0.8384514435695539,0.8223895864460766
71,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8371189178275792,0.8635384223619518,0.9039760953782396,0.8371189178275792,0.8938198135888286
72,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.820442156268928,0.7776551191880731,0.7435686517812122,0.820442156268928,0.7738977104250993
73,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.822703412073491,0.7577901850531928,0.7434332279920515,0.822703412073491,0.7100398299541453
74,Baseline_use_kan_False,0.8541893801736321,0.841437652996051,0.8335949031257589,0.8541893801736321,0.8582837326743931
75,Baseline_use_smoe_False,0.8316272965879264,0.7967245595060857,0.8039357075004082,0.8316272965879264,0.7675651954662208
76,Baseline_use_gc_False,0.84002624671916,0.8364833002943474,0.8785508809780654,0.84002624671916,0.8375383237250461
77,Baseline_use_lookahead_False,0.81246719160105,0.8174172836757038,0.8439005439005438,0.81246719160105,0.8800800744850058
78,Baseline,0.8405410862103776,0.7876985837512153,0.768768618031581,0.8405410862103776,0.7505063355902378
79,Baseline_use_wavelets_False_and_use_fft_False,0.8707349081364829,0.8433998614840279,0.83912925073411,0.8707349081364829,0.8276446600610017
80,Baseline_use_fft_False,0.8375227135069654,0.818443531190958,0.801046405823476,0.8375227135069654,0.8500718920687961
81,Baseline_use_fft_False_and_no_gMLP,0.8480113062790228,0.8294117758925293,0.8133897475750511,0.8480113062790228,0.8395627663923755
82,Baseline_use_wavelets_False,0.8258530183727034,0.7819156659927077,0.8010381929951333,0.8258530183727034,0.7300352192202859
83,Baseline_use_wavelets_False_and_no_gMLP,0.8379265091863518,0.7997832363956844,0.774272158737478,0.8379265091863518,0.8185808240892928
84,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8406723198061782,0.847082190745208,0.8598099259061479,0.8406723198061782,0.8840301041246442
85,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8337270341207349,0.8131172184237488,0.8502070795314824,0.8337270341207349,0.7853706395441457
86,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8192711487987078,0.7869849032288956,0.808159610747257,0.8192711487987078,0.7413708464304994
87,Baseline_use_kan_False,0.8288713910761155,0.7294444444444445,0.6926472194908774,0.8288713910761155,0.6572094329278272
88,Baseline_use_smoe_False,0.8432969917221887,0.8716068778912455,0.9214285631077236,0.8432969917221887,0.9142293782041451
89,Baseline_use_gc_False,0.8133757318796689,0.7573072691884573,0.7783317779851576,0.8133757318796689,0.68083103294529
90,Baseline_use_lookahead_False,0.3333333333333333,0.05520169851380042,0.03009259259259259,0.3333333333333333,0.0
91,Baseline,0.8395013123359579,0.8375056960583276,0.8801805699257188,0.8395013123359579,0.8301354225853289
