,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9621445600610844,0.9701434293145148,0.9794527782803795,0.9621445600610844,0.964464943893872
1,Transformer-FNET-128,0.9604926341385652,0.9700876876998342,0.98110770418586,0.9604926341385652,0.9639616031951632
2,Transformer-MHA-64,0.9606391786394527,0.970524498944698,0.9820018291628223,0.9606391786394527,0.9642799414902266
3,Transformer-MHA-128,0.9666826844135358,0.9743503679638604,0.9830534003973325,0.9666826844135358,0.9687096548648867
4,Transformer-FNET-64,0.9613052875804108,0.9683931429961169,0.9763955421061569,0.9613052875804108,0.9619980915374826
5,Transformer-FNET-128,0.9610430542318026,0.9706263630427499,0.9816489151479179,0.9610430542318026,0.9646520812917943
6,Transformer-MHA-64,0.9636338859341352,0.9723067891838744,0.9822745155329864,0.9636338859341352,0.9664215027693828
7,Transformer-MHA-128,0.9703480332935547,0.9761818586740634,0.9827021550632965,0.9703480332935547,0.970930242290785
8,Transformer-FNET-64,0.9612525175262155,0.9676579965736049,0.9748543036510914,0.9612525175262155,0.960484995392775
9,Transformer-FNET-128,0.9603336152157196,0.970481399371371,0.9822341112177861,0.9603336152157196,0.9641199492801736
10,Transformer-MHA-64,0.9654330118452578,0.9731377886965576,0.9819244338769729,0.9654330118452578,0.9674176816378268
11,Transformer-MHA-128,0.9720113859684741,0.9733772311124724,0.9749706468720367,0.9720113859684741,0.9672371807301526
12,Transformer-FNET-64,0.9652211419490517,0.9697936016848009,0.9749101008247288,0.9652211419490517,0.9632713282010429
13,Transformer-FNET-128,0.9623071499554614,0.9708379694266425,0.9806268536576935,0.9623071499554614,0.9647403108509925
14,Transformer-MHA-64,0.963389029264631,0.9717578009106661,0.9813405220924842,0.963389029264631,0.9658862043667377
15,Transformer-MHA-128,0.9646086787384255,0.9731624168918951,0.9828841143241681,0.9646086787384255,0.9670196825941195
16,Transformer-FNET-64,0.9604791069695033,0.9679710546871759,0.9764807676357378,0.9604791069695033,0.961539133384511
17,Transformer-FNET-128,0.963243016214841,0.9719327441610885,0.9819131299445633,0.963243016214841,0.9661143100670478
18,Transformer-MHA-64,0.9622610763899425,0.9714124138687382,0.9819650691874271,0.9622610763899425,0.9655026693476549
19,Transformer-MHA-128,0.9690133913183168,0.9657152975114295,0.9624971075908676,0.9690133913183168,0.9579126233233685
20,Transformer-FNET-64,0.9636245903018662,0.9701520492242605,0.9775476074434986,0.9636245903018662,0.9637706617863966
21,Transformer-FNET-128,0.9639540876241242,0.9721186618362662,0.9814853136931149,0.9639540876241242,0.9660448603547713
22,Transformer-MHA-64,0.964463455368061,0.970796337576383,0.9777502299154066,0.964463455368061,0.9653359222806316
23,Transformer-MHA-128,0.9622130642460922,0.9711118838554346,0.9812562455015295,0.9622130642460922,0.9651843554301989
24,Transformer-FNET-64,0.9620652569647717,0.9673314626306656,0.9732332219505014,0.9620652569647717,0.9604371257138041
25,Transformer-FNET-128,0.962076706286247,0.9707905810203442,0.9807212376933895,0.962076706286247,0.9648044118328036
26,Transformer-MHA-64,0.9620501630890382,0.9697462815799116,0.978340137965558,0.9620501630890382,0.9641071034190924
27,Transformer-MHA-128,0.9626569292855475,0.971975166750649,0.9827521488657741,0.9626569292855475,0.965887190635926
