,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9519103922589177,0.892307437030644,0.845605996021597,0.9519103922589177,0.8843291980444854
1,Baseline_use_wavelets_False_and_use_fft_False,0.9337950551087281,0.6871035072078523,0.6761296888041759,0.9337950551087281,0.6412198302038399
2,Baseline_use_fft_False,0.8880418806692264,0.5269570097420481,0.49176226373866494,0.8880418806692264,0.4734409354259974
3,Baseline_use_fft_False_and_no_gMLP,0.9369973190348526,0.8224626627922987,0.7611650485436893,0.9369973190348526,0.878929699023095
4,Baseline_use_wavelets_False,0.9504766160262138,0.7278202333914806,0.6981465423348246,0.9504766160262138,0.7437970501626743
5,Baseline_use_wavelets_False_and_no_gMLP,0.9851057491808163,0.7660581210974412,0.7174766813942072,0.9851057491808163,0.807565597400778
6,Baseline_use_gmlp_False,0.8879534972028269,0.641496410982752,0.6685930167421291,0.8879534972028269,0.501110219692493
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9671581769436997,0.9119106778569482,0.8666666666666667,0.9671581769436997,0.9152945960101865
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9664044623830147,0.7766835592844935,0.7286571384046839,0.9664044623830147,0.8072829423177621
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9460410753976437,0.7482820039509052,0.7027063593669617,0.9460410753976437,0.7825984380041041
10,Baseline_use_kan_False,0.9606047065832589,0.7817585573488235,0.7230942606455768,0.9606047065832589,0.835490545303609
11,Baseline_use_smoe_False,0.9674560619600833,0.8608016715650061,0.8054093567251462,0.9674560619600833,0.9198770892586464
12,Baseline_use_gc_False,0.9551871274391383,0.9303856544917167,0.9089620576296592,0.9551871274391383,0.9327846830610821
13,Baseline_use_lookahead_False,0.9433273756330056,0.682039608761286,0.6180255928015636,0.9433273756330056,0.6890228442276334
14,Baseline,0.9585522460857581,0.8999624198328714,0.8617660748719995,0.9585522460857581,0.9337172449704064
15,Baseline_use_wavelets_False_and_use_fft_False,0.930285904146494,0.7153890279516061,0.677774332235796,0.930285904146494,0.7250297794680205
16,Baseline_use_fft_False,0.964179326779863,0.8409191034011095,0.7722746331236898,0.964179326779863,0.876052851395831
17,Baseline_use_fft_False_and_no_gMLP,0.92448205651959,0.8062698698330903,0.7534543110133923,0.92448205651959,0.8231812770592835
18,Baseline_use_wavelets_False,0.956764935987456,0.875216768590171,0.8245352541244712,0.956764935987456,0.9071466938171845
19,Baseline_use_wavelets_False_and_no_gMLP,0.9390686019372346,0.7001243363206049,0.6775416167953806,0.9390686019372346,0.6864253715278982
20,Baseline_use_gmlp_False,0.9637930582970796,0.8588122535490957,0.8049581149141742,0.9637930582970796,0.914312410642447
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.946604110813226,0.705157996703305,0.6636735621732213,0.946604110813226,0.7152368821568535
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9683497170092344,0.9035575766226881,0.8554169142404436,0.9683497170092344,0.9325001966082436
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9644403853519136,0.8421790078390595,0.7860925306577481,0.9644403853519136,0.8603821557333126
24,Baseline_use_kan_False,0.9555733959219214,0.8665035894087297,0.8093950393224439,0.9555733959219214,0.8909799316789583
25,Baseline_use_smoe_False,0.9585522460857581,0.9122865602528997,0.8770137137833425,0.9585522460857581,0.9340316561616318
26,Baseline_use_gc_False,0.9451801549656778,0.8378362047676844,0.7912054636728062,0.9451801549656778,0.8827498637637265
27,Baseline_use_lookahead_False,0.7194119553368883,0.38448264941554666,0.4884302935010483,0.7194119553368883,0.2715521165786778
28,Baseline,0.9622152497487617,0.9086406470658553,0.8705849033624934,0.9622152497487617,0.9391830788805829
29,Baseline_use_wavelets_False_and_use_fft_False,0.8986446231754542,0.6407460113721624,0.6574074074074074,0.8986446231754542,0.5168491207243453
30,Baseline_use_fft_False,0.9477956508787608,0.7166839037355754,0.6877147766323025,0.9477956508787608,0.7255632624053069
31,Baseline_use_fft_False_and_no_gMLP,0.9656687518617812,0.8633574007220216,0.7996031746031745,0.9656687518617812,0.8951166185947126
32,Baseline_use_wavelets_False,0.9650729818290139,0.8295694068051791,0.7692939244663383,0.9650729818290139,0.8878344363172346
33,Baseline_use_wavelets_False_and_no_gMLP,0.9603812928209711,0.6839529484839207,0.6660784313725491,0.9603812928209711,0.6400337498410544
34,Baseline_use_gmlp_False,0.9665624069109323,0.8860347503880627,0.8287037037037037,0.9665624069109323,0.9070719061570267
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.956764935987456,0.9182447531504135,0.8847637957756286,0.956764935987456,0.9069209963032783
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9534554661900506,0.7353217819872451,0.6922222222222222,0.9534554661900506,0.768233942094348
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9459526919312441,0.7694912651897478,0.7307144321443214,0.9459526919312441,0.8136143082640933
38,Baseline_use_kan_False,0.9394319561879884,0.8304048729580645,0.7729543744986596,0.9394319561879884,0.8482305352880847
39,Baseline_use_smoe_False,0.9510723860589811,0.7260013699786333,0.6886195286195286,0.9510723860589811,0.7492834682336474
40,Baseline_use_gc_False,0.9622152497487617,0.9019929890897633,0.8621458904477772,0.9622152497487617,0.9392306643406372
41,Baseline_use_lookahead_False,0.9522966607417009,0.7982531038501187,0.7463261718580867,0.9522966607417009,0.8489715281800707
