,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9519103922589177,0.892307437030644,0.845605996021597,0.9519103922589177,0.8843291980444854
1,Baseline_use_wavelets_False_and_use_fft_False,0.9337950551087281,0.6871035072078523,0.6761296888041759,0.9337950551087281,0.6412198302038399
2,Baseline_use_fft_False,0.8880418806692264,0.5269570097420481,0.49176226373866494,0.8880418806692264,0.4734409354259974
3,Baseline_use_fft_False_and_no_gMLP,0.9369973190348526,0.8224626627922987,0.7611650485436893,0.9369973190348526,0.878929699023095
4,Baseline_use_wavelets_False,0.9504766160262138,0.7278202333914806,0.6981465423348246,0.9504766160262138,0.7437970501626743
5,Baseline_use_wavelets_False_and_no_gMLP,0.9851057491808163,0.7660581210974412,0.7174766813942072,0.9851057491808163,0.807565597400778
6,Baseline_use_gmlp_False,0.8879534972028269,0.641496410982752,0.6685930167421291,0.8879534972028269,0.501110219692493
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9671581769436997,0.9119106778569482,0.8666666666666667,0.9671581769436997,0.9152945960101865
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9664044623830147,0.7766835592844935,0.7286571384046839,0.9664044623830147,0.8072829423177621
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9460410753976437,0.7482820039509052,0.7027063593669617,0.9460410753976437,0.7825984380041041
10,Baseline_use_kan_False,0.9606047065832589,0.7817585573488235,0.7230942606455768,0.9606047065832589,0.835490545303609
11,Baseline_use_smoe_False,0.9674560619600833,0.8608016715650061,0.8054093567251462,0.9674560619600833,0.9198770892586464
12,Baseline_use_gc_False,0.9551871274391383,0.9303856544917167,0.9089620576296592,0.9551871274391383,0.9327846830610821
13,Baseline_use_lookahead_False,0.9433273756330056,0.682039608761286,0.6180255928015636,0.9433273756330056,0.6890228442276334
14,Baseline,0.9585522460857581,0.8999624198328714,0.8617660748719995,0.9585522460857581,0.9337172449704064
15,Baseline_use_wavelets_False_and_use_fft_False,0.930285904146494,0.7153890279516061,0.677774332235796,0.930285904146494,0.7250297794680205
16,Baseline_use_fft_False,0.964179326779863,0.8409191034011095,0.7722746331236898,0.964179326779863,0.876052851395831
17,Baseline_use_fft_False_and_no_gMLP,0.92448205651959,0.8062698698330903,0.7534543110133923,0.92448205651959,0.8231812770592835
18,Baseline_use_wavelets_False,0.956764935987456,0.875216768590171,0.8245352541244712,0.956764935987456,0.9071466938171845
19,Baseline_use_wavelets_False_and_no_gMLP,0.9390686019372346,0.7001243363206049,0.6775416167953806,0.9390686019372346,0.6864253715278982
20,Baseline_use_gmlp_False,0.9637930582970796,0.8588122535490957,0.8049581149141742,0.9637930582970796,0.914312410642447
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.946604110813226,0.705157996703305,0.6636735621732213,0.946604110813226,0.7152368821568535
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9683497170092344,0.9035575766226881,0.8554169142404436,0.9683497170092344,0.9325001966082436
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9644403853519136,0.8421790078390595,0.7860925306577481,0.9644403853519136,0.8603821557333126
24,Baseline_use_kan_False,0.9555733959219214,0.8665035894087297,0.8093950393224439,0.9555733959219214,0.8909799316789583
