,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9598711262160416,0.9634204851634034,0.9675606474922062,0.9598711262160416,0.9513005822220862
1,Baseline_use_wavelets_False_and_use_fft_False,0.9322616879388089,0.8648693503038736,0.8324608195755546,0.9322616879388089,0.8009010148877925
2,Baseline_use_fft_False,0.9592500251298995,0.9590806836711426,0.959086711664319,0.9592500251298995,0.9443849579743504
3,Baseline_use_fft_False_and_no_gMLP,0.9566326550552785,0.960191975889248,0.964318397686645,0.9566326550552785,0.9466024318069339
4,Baseline_use_wavelets_False,0.9464221624439274,0.9169027673367954,0.8937880221813063,0.9464221624439274,0.8815909489986491
5,Baseline_use_wavelets_False_and_no_gMLP,0.959523209876456,0.9537655128719735,0.948167985365428,0.959523209876456,0.9365817939712807
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9490389452848115,0.93105342311536,0.9151513658960848,0.9490389452848115,0.9037886911327369
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9512080831266799,0.9341929462061126,0.9189579180059172,0.9512080831266799,0.9088355970752878
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9513760421579388,0.956418291447941,0.9624950109475798,0.9513760421579388,0.9429129081522108
9,Baseline_use_kan_False,0.958116349381803,0.9538197858633631,0.9496247682165491,0.958116349381803,0.9366248121279839
10,Baseline_use_smoe_False,0.9585928857449014,0.9547641593677425,0.9510584566595006,0.9585928857449014,0.9382540461613769
11,Baseline_use_gc_False,0.9602064863180666,0.9656326535461818,0.9719337548452213,0.9602064863180666,0.9543817896000204
12,Baseline_use_lookahead_False,0.9540647578656495,0.9531704652235727,0.9529498865286049,0.9540647578656495,0.9376732171636727
13,Baseline,0.9572036465998984,0.9602603157901615,0.963889001381255,0.9572036465998984,0.947130849464883
14,Baseline_use_wavelets_False_and_use_fft_False,0.9597701736663445,0.9671325204512858,0.9756669068094431,0.9597701736663445,0.9561489428780914
15,Baseline_use_fft_False,0.9567980949160996,0.9594029896014277,0.9624528709997455,0.9567980949160996,0.9453251572267954
16,Baseline_use_fft_False_and_no_gMLP,0.9567597523676371,0.9597332788798748,0.9631972702759729,0.9567597523676371,0.945863479087675
17,Baseline_use_wavelets_False,0.9624439384318197,0.9635762930976416,0.9649685735057196,0.9624439384318197,0.9506448671916229
18,Baseline_use_wavelets_False_and_no_gMLP,0.9600164955956844,0.9603379782283813,0.9608680836826302,0.9600164955956844,0.9461630400327343
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9500318628544663,0.9591553315847449,0.9700208888711561,0.9500318628544663,0.9460429792621494
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.961731197453493,0.9621421708660066,0.9627669852858928,0.961731197453493,0.9486671021164444
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9497772501471173,0.9371449945296995,0.9253803374946461,0.9497772501471173,0.9135265257646461
22,Baseline_use_kan_False,0.9569663539192822,0.9585244346367524,0.9604037810923424,0.9569663539192822,0.9439890557473162
23,Baseline_use_smoe_False,0.9602168895429978,0.9547958786542603,0.9495183938283409,0.9602168895429978,0.9379244217126821
24,Baseline_use_gc_False,0.9560294612296062,0.9569322936110786,0.9581585487532337,0.9560294612296062,0.9422306788188167
25,Baseline_use_lookahead_False,0.9465109806917203,0.9243490521051524,0.9055285118091443,0.9465109806917203,0.893771606672637
26,Baseline,0.9583625860600934,0.9631125337501093,0.9685382333942324,0.9583625860600934,0.9503944683513924
27,Baseline_use_wavelets_False_and_use_fft_False,0.9574408744456241,0.9433299402922241,0.9304312193346339,0.9574408744456241,0.9209308443375315
28,Baseline_use_fft_False,0.9566496980282769,0.9561075894433618,0.9558079510828706,0.9566496980282769,0.9408136215993897
29,Baseline_use_fft_False_and_no_gMLP,0.9588657768745895,0.958837739565968,0.9589963972562412,0.9588657768745895,0.9440968612153188
30,Baseline_use_wavelets_False,0.9579408711028652,0.9609300138975231,0.9644244356851104,0.9579408711028652,0.9474750537994089
31,Baseline_use_wavelets_False_and_no_gMLP,0.95729730483087,0.9618313440263657,0.9670185376441897,0.95729730483087,0.9486499616850913
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9458723192377949,0.9343942528249783,0.9236216883937992,0.9458723192377949,0.9100383421970736
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9567195998462067,0.962304912130805,0.9687917865635342,0.9567195998462067,0.9497405307140147
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9554386826125968,0.9628207538068083,0.9715557384470371,0.9554386826125968,0.9511000735369185
35,Baseline_use_kan_False,0.9550507547804784,0.9547598182843912,0.9546634875559884,0.9550507547804784,0.9386182383619827
36,Baseline_use_smoe_False,0.964412547652532,0.958252212917472,0.9522707770110183,0.964412547652532,0.9426292262557766
37,Baseline_use_gc_False,0.9555675821918742,0.9656011763942488,0.9775786684868805,0.9555675821918742,0.9548528104832628
38,Baseline_use_lookahead_False,0.3335350275648783,0.2878465863999428,0.5859931768232687,0.3335350275648783,0.016576862933027244
39,Baseline,0.9582474872247598,0.9591407119674598,0.9602922902534085,0.9582474872247598,0.9448005494417012
40,Baseline_use_wavelets_False_and_use_fft_False,0.9588518428077967,0.9560006670860502,0.9532425073025174,0.9588518428077967,0.9397415420551267
41,Baseline_use_fft_False,0.957182127099542,0.9580354708073511,0.9591866805722038,0.957182127099542,0.9435560148516896
42,Baseline_use_fft_False_and_no_gMLP,0.9580574228104011,0.9620651487285231,0.9666795061257331,0.9580574228104011,0.9489591902462757
43,Baseline_use_wavelets_False,0.9408261552690197,0.8967346433406566,0.8675329165802815,0.9408261552690197,0.8504537314335421
44,Baseline_use_wavelets_False_and_no_gMLP,0.963001140791569,0.9573459570596996,0.9518478511751617,0.963001140791569,0.9418234052433484
45,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9555024466651468,0.9591458892994352,0.9633288172304955,0.9555024466651468,0.9448399200952351
46,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9565942413168701,0.9557907523467705,0.9552038852178241,0.9565942413168701,0.9399966637418682
47,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9535368053217423,0.957303141970426,0.9618961887662869,0.9535368053217423,0.9441742262870689
48,Baseline_use_kan_False,0.9535534873409509,0.956063310009393,0.9590907321144938,0.9535534873409509,0.9412870666437247
49,Baseline_use_smoe_False,0.9593433287621362,0.9470445997896594,0.9355849933458574,0.9593433287621362,0.9265548025075827
50,Baseline_use_gc_False,0.9533629080338374,0.9596137984508263,0.9667767214708758,0.9533629080338374,0.9455524546380469
51,Baseline_use_lookahead_False,0.5963498966655357,0.4687331761555729,0.7501833558262119,0.5963498966655357,0.49906485575749515
52,Baseline,0.9554461930031902,0.9601863717633305,0.9656799787242724,0.9554461930031902,0.9467560313268312
53,Baseline_use_wavelets_False_and_use_fft_False,0.9591367208554363,0.9631379808622041,0.9678141013052951,0.9591367208554363,0.9508627858175849
54,Baseline_use_fft_False,0.6796814250299622,0.6670743637520803,0.928248986355344,0.6796814250299622,0.7286049974165649
55,Baseline_use_fft_False_and_no_gMLP,0.9643718181054438,0.961205798226715,0.9581435105646717,0.9643718181054438,0.9472661551047458
56,Baseline_use_wavelets_False,0.9595149737252583,0.9629361510990929,0.9669267444083115,0.9595149737252583,0.9504651164210247
57,Baseline_use_wavelets_False_and_no_gMLP,0.9580188603370464,0.9635920640990242,0.9700230171394374,0.9580188603370464,0.9512806372387209
58,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9588505400215346,0.9625591655871615,0.9669681916749759,0.9588505400215346,0.9505360730086977
59,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9567710160270151,0.9569082212007243,0.9572211516192469,0.9567710160270151,0.9414306948024243
60,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9548332530252758,0.9441965424260598,0.934160342232954,0.9548332530252758,0.9232181711630019
61,Baseline_use_kan_False,0.9583412204987015,0.9626443758002132,0.9675805413413828,0.9583412204987015,0.9497144128840811
62,Baseline_use_smoe_False,0.9577525377654799,0.961564094767733,0.9660141468171325,0.9577525377654799,0.9488375388009729
63,Baseline_use_gc_False,0.95870582271052,0.968014863491686,0.9791083033391129,0.95870582271052,0.9582524468053323
64,Baseline_use_lookahead_False,0.8449265287913527,0.8821744793330873,0.9567417597209403,0.8449265287913527,0.8661798418498619
